iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_rt_joint_linear_track,q1_rt_joint_carriage,q2_rt_base,q3_rt_shoulder,q4_rt_elbow,q5_rt_wrist1,q6_rt_wrist2,q7_rt_wrist3
13,3.8694612453577033,2.8016394428286384,1.986088850409257,5.764067353259784,1.5032550260615247,-0.730017067318274,5.682247673340531,0.8710342027733797,-3.14,3.14,1.0173194034341502,-2.5759076511376766,2.337703445079186,3.131351885339302
14,3.4502425712170086,2.5479315259637025,1.8214359919691412,6.017097768581158,1.6391011125607795,-0.49853380261301955,5.922144928930629,0.8985656208584649,-3.14,3.14,1.3306036960216863,-2.653525615400376,2.49209267955504,3.14
15,3.1985424374855214,2.336749426487497,1.774664395147885,6.08819350217274,1.703571675747928,-0.28720515228042,5.981135414294192,0.9371957530277918,-3.14,3.14,1.5810947317036814,-2.681539655826293,2.6989821452172733,3.14
16,3.127097556894917,2.210276570609884,1.8281802598540156,6.059499664572738,1.7485611884966847,-0.15720511329250897,5.941475970903224,0.9957322621633024,-3.14,3.14,1.7239609034130414,-2.6858122974563927,2.898432519975019,3.14
17,3.172987501767742,2.1515994585443865,1.9334386742166958,5.990363328533544,1.739202987998155,-0.09575461537700679,5.862763296988768,1.0,-3.14,3.14,1.7815180145424006,-2.692713346099625,3.066673071467183,3.14
18,3.302167695059166,2.1770901280279156,2.038083527679702,5.9264493221865235,1.7425853815932302,-0.11618452393542789,5.7947172146109445,1.0,-3.14,3.14,1.742748687920885,-2.717884963738056,3.14,3.14
19,3.4650578304243744,2.2515051904612826,2.1270068857449145,5.899141432236592,1.7513936481462453,-0.18787033064874215,5.767416955521181,1.0,-3.14,3.14,1.6470536912217388,-2.751533400487907,3.14,3.14
20,3.6414930946776924,2.3448174830865876,2.207738404236024,5.907593311690635,1.7525873018871294,-0.2825882066455489,5.777386787560725,1.0,-3.14,3.14,1.5269744900483242,-2.7874933327421028,3.10620627174559,3.14
21,3.801418655110853,2.447040428435372,2.2609847664700586,5.939589529505919,1.740331840330876,-0.3888885441602355,5.812125983296952,1.0,-3.14,3.14,1.3971054431120844,-2.8249816199245634,3.0337308392626823,3.14
22,3.922435351226931,2.5371320649414923,2.287490055767096,5.984703190673629,1.717409038879577,-0.4835290205594534,5.859662306521407,1.0,-3.14,3.14,1.2824168793501904,-2.8645085501551395,2.9487203257264705,3.14
23,3.990114297901986,2.6006654864410743,2.2896382651900837,6.031664957588222,1.6944406425667287,-0.5503471617991708,5.907879783316662,1.0,-3.14,3.14,1.2018897219565945,-2.9045440850295,2.8727544842759714,3.14
24,4.000917969278594,2.631150574257445,2.271400770656798,6.071513317060564,1.6820043453897624,-0.5824433471278344,5.947746626158456,1.0,-3.14,3.14,1.1654849963573148,-2.942071740391639,2.8198788773040877,3.14
25,3.9642446672507683,2.630246513781599,2.239519858788165,6.099581198193607,1.6836480381164782,-0.5819126318417016,5.974999118204391,1.0,-3.14,3.14,1.1712449049603488,-2.97485100389725,2.7950141682373184,3.14
26,3.8996208600938513,2.6063402381274043,2.2030855986786997,6.115540309830733,1.695097164438477,-0.5576847612005883,5.989778269885061,1.0,-3.14,3.14,1.206592283406429,-3.00237990021361,2.7948249174613022,3.14
27,3.8287288963711945,2.5709524745378762,2.17074297368148,6.121969196790052,1.7093327103392246,-0.5216892640795512,5.994988146021578,1.0,-3.14,3.14,1.2548588026363459,-3.025332325549934,2.811408581601175,3.14
