elapsed_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,rb_raw_x_m,rb_raw_y_m,rb_raw_z_m,rb_qx,rb_qy,rb_qz,rb_qw,rb_corrected_x_m,rb_corrected_y_m,rb_corrected_z_m,rb_aligned_x_m,rb_aligned_y_m,rb_aligned_z_m,mocap_age_ms,error_mm
11.5085,0.170889,0.126966,1.27671,1.155,7.1016,177.8465,-0.252116,2.079621,-0.162717,-0.038695,0.003491,-0.059572,0.997468,-0.24968,2.101965,-0.149529,0.171974,0.117935,1.277539,0.526,9.1335
11.6519,0.172218,0.131352,1.27548,1.1514,7.0766,177.8537,-0.24899,2.078497,-0.159644,-0.041835,-0.005076,-0.053673,0.997669,-0.247047,2.100963,-0.146583,0.173552,0.121561,1.276549,9.819,9.9382
11.793,0.172907,0.133649,1.274828,1.1495,7.0635,177.8574,-0.246942,2.07764,-0.157792,-0.039521,-0.001359,-0.056591,0.997614,-0.244772,2.100027,-0.144632,0.174372,0.124448,1.275627,0.522,9.3508
11.9313,0.173109,0.134327,1.274634,1.149,7.0596,177.8585,-0.246391,2.077418,-0.15739,-0.036543,0.004196,-0.060929,0.997464,-0.24388,2.099697,-0.144107,0.174476,0.125479,1.275303,6.237,8.9772
12.0679,0.17366,0.13618,1.274101,1.1474,7.049,177.8615,-0.245204,2.076989,-0.155964,-0.039301,-0.003204,-0.05364,0.997782,-0.243215,2.099385,-0.142791,0.175394,0.126634,1.274992,1.43,9.7436
12.2063,0.174758,0.139912,1.273018,1.1444,7.0277,177.8674,-0.242244,2.07592,-0.153838,-0.040386,-0.002385,-0.056023,0.99761,-0.240125,2.098334,-0.140715,0.175989,0.130314,1.27396,5.911,9.7226
12.3446,0.17638,0.145516,1.27136,1.1397,6.9955,177.8764,-0.237904,2.07424,-0.149898,-0.036708,0.001573,-0.059082,0.997577,-0.235547,2.096537,-0.136617,0.177799,0.136194,1.272188,2.258,9.4662
12.484,0.178274,0.152199,1.269336,1.1342,6.9571,177.8871,-0.232608,2.072049,-0.145229,-0.039533,0.00081,-0.056303,0.99763,-0.230389,2.094434,-0.132073,0.179771,0.142788,1.270115,0.888,9.5617
12.6252,0.179702,0.157351,1.267741,1.1299,6.9275,177.8954,-0.22862,2.070438,-0.141387,-0.03875,-0.005369,-0.05296,0.99783,-0.226722,2.092826,-0.128186,0.181768,0.14775,1.268525,0.547,9.8522
12.7704,0.180575,0.160549,1.266735,1.1272,6.909,177.9005,-0.225695,2.069329,-0.139566,-0.037518,0.004349,-0.059323,0.997524,-0.223248,2.091641,-0.126327,0.182006,0.15169,1.267364,3.8,8.9955
