iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,new_node_collision_count,random_new_node_collision_count,rewire_collision_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
25,add_node,random,25,27,0.07494779999979073,,,0,0,0,True,False,,,,best_parent=8,0.6864048924115012,"[1.963755, 0.180518, 0.79733, -0.638748, 0.330226, 0.637082, -0.267575, 0.433615]","[4.26369, 0.378898, 0.170879, -0.206232, 0.654997, 0.343639, -0.445318, 0.859489]","[6.376123, 0.256135, -0.225316, 2.310659, -1.120157, -2.588796, -2.965085, 0.465084]"
26,add_node,random,17,28,0.07885900000110269,,,0,0,0,True,False,,,,best_parent=0,0.29349377915600205,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.097004, -0.11597, -0.194129, -0.84006, 0.347367, 0.202117, 0.388907, 1.203307]","[2.056412, -0.752131, -1.157474, -1.337347, 0.914703, -0.154287, 0.952754, 3.031618]"
27,add_node,random,24,29,0.08249280000018189,,,0,0,0,True,False,,,,best_parent=9,0.696892929133688,"[2.27393, 0.241597, 0.971936, -0.648851, 0.371694, 0.823632, -0.050639, 0.635248]","[3.793271, 0.411751, 1.17622, -0.708252, 0.38436, 1.321059, 0.70045, 1.399692]","[4.359982, 0.06782, 0.4359, -1.069395, -2.2209, 3.050845, 2.306482, 1.626195]"
28,add_node,random,27,30,0.08677750000060769,,,0,0,0,True,False,,,,best_parent=0,0.33015804759976763,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.238397, -0.097021, -0.202211, -1.006755, 0.0954, -0.047625, 0.650426, 1.322174]","[2.547155, 0.078366, -0.277019, -2.549704, -2.236853, -2.359276, 3.071083, 2.422424]"
29,add_node,goal_bias,28,31,0.08958750000601867,,,0,0,0,True,False,,,,best_parent=28,0.7768929291336881,"[3.793271, 0.411751, 1.17622, -0.708252, 0.38436, 1.321059, 0.70045, 1.399692]","[4.048525, 0.476137, 1.391164, -0.71548, 0.439332, 1.52015, 0.913073, 1.590056]","[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]"
30,add_node,random,28,32,0.09351660000538686,,,0,0,0,True,False,,,,best_parent=9,0.6887362958639773,"[2.27393, 0.241597, 0.971936, -0.648851, 0.371694, 0.823632, -0.050639, 0.635248]","[3.833673, 0.306416, 1.197952, -0.437214, 0.447304, 1.513817, 0.63684, 1.248427]","[4.050142, -0.257953, 1.314391, 1.014973, 0.784549, 2.546591, 0.296025, 0.437961]"
31,add_node,random,1,33,0.09796480000659358,,,0,0,0,True,False,,,,best_parent=0,0.11841173186715435,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.040963, -0.096802, -0.508561, 0.046462, -0.10951, 0.231461, 0.329981, -0.155825]","[0.183374, -0.441488, -2.513958, -1.106142, -1.789389, 1.98652, 0.374104, -0.433084]"
32,add_node,random,26,34,0.10169430000678403,,,0,0,0,True,False,,,,best_parent=20,0.7504341341501245,"[3.742908, 0.421644, 0.336487, -0.662621, 0.61251, 0.443047, -0.017427, 0.843543]","[4.593021, 0.447413, 0.287458, -0.168974, 0.753687, 0.199544, -0.457628, 1.162721]","[6.703812, 0.886551, 1.034653, 0.069827, 1.386222, -0.724008, -0.536529, 3.10624]"
33,add_node,random,14,35,0.10791800000151852,,,0,0,0,True,False,,,,best_parent=0,0.2479048380750969,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.293922, 0.278775, 0.122588, -0.119086, -0.41514, -0.612757, -0.058325, 0.138203]","[1.833901, 0.7591, -1.618287, -0.426006, 0.28233, -2.351748, -0.747777, -0.170145]"
34,add_node,random,34,36,0.11348420000285842,,,0,0,0,True,False,,,,best_parent=0,0.2855477761352343,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.627278, 0.255864, -0.044147, 0.165428, -0.639117, -0.631316, -0.190368, 0.155874]","[4.833577, 0.035492, -1.647841, 2.901958, -2.793392, -0.809825, -1.460397, 0.325839]"
