iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,reason,cost,from_q,to_q,sample_q
28,add_node,random,16,30,True,False,,best_parent=0,0.3433952541579402,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.310383, -0.007253, 1.099108, 0.504777, 0.872455, 0.824936, -0.197109, 0.788418]","[2.288321, 0.15994, 1.742142, 1.265697, 1.950345, -0.945268, -2.206616, 2.389474]"
29,add_node,random,19,31,True,False,,best_parent=0,0.38886834232732753,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.116433, 0.204483, 0.83115, 1.001694, -0.039978, 0.861151, 0.525511, -0.086272]","[3.901021, 0.272923, 0.257983, 1.525221, -2.977608, 1.174401, 1.738523, 1.249907]"
30,add_node,random,25,32,True,False,,best_parent=0,0.34399514074721654,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.157197, -0.334085, -0.64538, -0.025383, -0.309439, 0.206529, -0.263984, -0.021937]","[6.616605, -0.911228, -1.838496, 1.772215, 2.159078, 2.028361, -2.794142, 1.933817]"
31,add_node,random,24,33,True,False,,best_parent=0,0.4578624238982216,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.439779, 0.27717, 1.013115, 1.044703, 0.775776, 0.567382, 0.554828, -0.631986]","[3.579979, 0.256392, 0.939057, 2.229427, 2.800182, 0.131866, 2.039153, -2.368784]"
32,add_node,random,29,34,True,False,,best_parent=0,0.3911232070108624,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.349629, 0.078143, 1.305849, 0.705588, 0.741237, 1.008293, -0.260187, 0.992495]","[1.695559, 0.830862, 3.128162, 2.475624, -0.415377, 2.624478, -0.81618, 2.791316]"
33,add_node,random,31,35,True,False,,best_parent=0,0.3629286316757931,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.201025, -0.344803, -0.77443, -0.031813, -0.024479, 0.404965, -0.260408, -0.357753]","[2.530298, -0.425329, -1.743965, -0.080119, 2.116376, 1.895782, -0.233543, -2.880691]"
34,add_node,goal_bias,31,36,True,False,,best_parent=0,0.37620829317516535,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.140772, -0.439694, -0.487145, -0.122076, -0.469043, 0.234055, -0.471237, 0.174775]","[2.053633, -1.0, 0.352362, -0.635075, -1.315819, 0.380094, -1.570809, 1.218425]"
35,add_node,random,27,37,True,False,,best_parent=0,0.3025928938625183,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.922545, 0.165748, -0.529588, 0.316145, 0.431292, -0.454315, 0.237071, 0.418899]","[4.384455, 0.720569, -0.810525, -0.350564, 0.710676, -2.154045, -2.701176, 0.527724]"
36,add_node,random,30,38,True,False,,best_parent=0,0.42785781509025433,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.340648, 0.175548, 0.955381, 1.168963, -0.185926, 0.995368, 0.238565, -0.303798]","[4.230725, -0.068365, 2.002614, 2.578993, -1.416228, 2.126785, -2.180321, -2.137492]"
37,add_node,random,32,39,True,False,,best_parent=0,0.5114395487311225,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.913829, 0.269733, 1.067113, 0.855451, 0.894815, 0.690021, 0.654918, -0.810567]","[6.611783, 0.211712, 1.488343, -0.620859, 1.823413, 1.6467, 1.435702, -2.203639]"
38,add_node,random,34,40,True,False,,best_parent=0,0.42114902366800305,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.677601, -0.382049, -0.653298, -0.241247, 0.013785, 0.591704, -0.269949, -0.342261]","[5.824919, -0.628021, 0.146662, -1.624354, 0.266486, 1.824929, -0.332959, -0.239947]"
39,add_node,random,38,41,True,False,,best_parent=0,0.5492636450988618,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.336018, 0.180707, 1.152672, 1.015036, 0.944729, 0.58928, 0.687186, -0.687453]","[7.579824, -0.714169, 2.012701, 2.619168, 1.446457, -0.423356, 1.011539, 0.550086]"
40,add_node,random,22,42,True,False,,best_parent=0,0.3200969362081694,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.558953, -0.238316, -0.502082, -0.353411, -0.755019, -0.354229, -0.732139, -0.580205]","[3.457666, -0.245303, 0.475164, -2.102116, -1.973322, -2.275702, -1.419013, -2.183897]"
41,add_node,random,37,43,True,False,,best_parent=0,0.4590463247255228,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.502642, 0.271685, 0.971992, 1.165505, -0.452855, 0.914917, 0.097071, -0.519818]","[3.606727, 0.92692, 1.085209, 1.141936, -2.272135, 0.366595, -0.867299, -1.99212]"
42,add_node,random,39,44,True,False,,best_parent=0,0.44109897703009476,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.729164, -0.4017, -0.767829, -0.512091, 0.292934, 0.553625, -0.355784, -0.070778]","[3.150262, -0.562184, -1.703164, -2.723972, 2.572636, 0.242647, -1.056762, 2.146324]"
43,add_node,random,36,45,True,False,,best_parent=0,0.3535027967138969,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.288908, 0.12807, -0.444413, 0.202162, 0.68131, -0.720399, 0.234003, 0.423876]","[5.596189, -0.212061, 0.324497, -0.826797, 2.938312, -3.122427, 0.206305, 0.468811]"
44,add_node,random,42,46,True,False,,best_parent=0,0.49531876754342824,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.96817, 0.249658, 0.899361, 1.217211, -0.499956, 0.902276, -0.161492, -0.33681]","[6.873215, 0.064879, 0.290103, 1.650944, -0.895063, 0.796241, -2.330421, 1.19834]"
45,add_node,random,44,47,True,False,,best_parent=0,0.38302776091658836,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.514793, 0.179774, -0.179702, 0.041321, 0.483742, -0.857562, 0.316459, 0.606134]","[4.893401, 0.724221, 2.607736, -1.652365, -1.596678, -2.301909, 1.184734, 2.525337]"
46,add_node,random,43,48,True,False,,best_parent=0,0.47049340081773416,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.822851, -0.435911, -0.941831, -0.649857, 0.511094, 0.417214, -0.16793, 0.220037]","[3.745156, -0.772696, -2.654809, -2.006107, 2.658796, -0.92569, 1.681415, 3.08299]"
47,add_node,random,29,49,True,False,,best_parent=0,0.3915608900617233,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.62804, -0.058433, 0.959238, 0.582664, 1.106363, 0.825347, -0.369273, 1.018268]","[3.063899, -0.289775, 0.327006, 0.934726, 2.16366, 0.827203, -1.147476, 2.057221]"
48,add_node,random,44,50,True,False,,best_parent=0,0.4058205067845367,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.6951, 0.148484, -0.492423, 0.133715, 0.856148, -0.799508, -0.019345, 0.234054]","[7.021987, 0.365935, -1.003842, -0.595401, 2.718579, -1.642208, -2.718089, -1.787992]"
49,add_node,random,45,51,True,False,,best_parent=0,0.5475714278224063,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.264487, 0.188597, 1.084482, 1.313209, -0.755672, 1.030434, -0.016253, -0.454135]","[5.176209, -0.20534, 2.278807, 1.932555, -2.405453, 1.857257, 0.920773, -1.211073]"
50,add_node,random,47,52,True,False,,best_parent=0,0.5223025804056594,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.325336, -0.423819, -1.007206, -0.610705, 0.64453, 0.394413, 0.088892, 0.18371]","[7.837666, -0.315239, -1.594279, -0.259122, 1.842783, 0.189655, 2.395163, -0.142508]"
51,add_node,random,49,53,True,False,,best_parent=0,0.4198342510383464,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.882724, 0.172849, -0.532491, 0.216664, 0.670162, -0.682532, -0.394034, 0.069267]","[3.715456, 0.28099, -0.710328, 0.584818, -0.155305, -0.163355, -2.057017, -0.662108]"
52,add_node,random,49,54,True,False,,best_parent=0,0.4178581998080429,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.530292, 0.229626, -0.293812, 0.114668, 1.094246, -0.964443, -0.232351, 0.198689]","[1.206929, 0.881177, 1.300983, -0.038274, 3.006107, -2.288825, -1.94273, -0.08528]"
53,add_node,random,48,55,True,False,,best_parent=0,0.4419251274981666,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.893702, -0.143696, 1.092482, 0.824485, 1.204192, 0.826509, -0.158765, 1.095812]","[4.329636, -0.925501, 2.314243, 3.041821, 2.10122, 0.837166, 1.771446, 1.80684]"
