iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,new_node_collision_count,random_new_node_collision_count,rewire_collision_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
25,add_node,random,19,27,0.06941899999947054,,,0,0,0,True,False,,,,best_parent=0,0.3471075820336205,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.035567, -0.04182, -0.806941, -0.287382, 0.326255, 0.201507, 0.141816, -1.102334]","[1.67407, 0.34345, -1.999446, -1.809129, 2.012491, 2.351336, -0.920301, -2.042753]"
26,add_node,random,25,28,0.07419859999936307,,,0,0,0,True,False,,,,best_parent=16,0.39565679014407473,"[1.549523, -0.188644, 0.01293, 0.254187, -0.146344, -0.433677, 0.728204, 0.410964]","[2.302661, -0.239604, 0.254673, 0.335151, -0.144095, -0.548702, 1.081384, 0.637757]","[5.854443, -0.918739, 1.176409, -0.795974, -0.217919, -0.609908, 2.209978, 0.502165]"
27,add_node,goal_bias,24,29,0.0755630999992718,,,0,0,0,True,False,,,,best_parent=21,0.7583358118442043,"[3.131599, -0.570963, -1.167551, 0.310591, 0.559882, 0.086035, -0.564514, -0.650214]","[4.251057, -0.766799, -1.548957, 0.750396, 0.767225, 0.209971, -0.840175, -0.781224]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
28,add_node,goal_bias,28,30,0.07671690000279341,,,0,0,0,True,False,,,,best_parent=21,0.8344896321685362,"[3.131599, -0.570963, -1.167551, 0.310591, 0.559882, 0.086035, -0.564514, -0.650214]","[4.626977, -0.861959, -1.794209, 0.855103, 0.796444, 0.216174, -0.878888, -0.763341]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
29,add_node,random,17,31,0.08377080000354908,,,0,0,0,True,False,,,,best_parent=0,0.3341376563426051,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.032244, -0.081188, -0.848637, 0.54339, 0.01452, -0.25964, 0.204514, -0.776829]","[2.086071, 0.273504, -3.129137, 2.622361, 0.795579, -1.559591, 0.539756, -0.911348]"
30,add_node,goal_bias,29,32,0.08529650000127731,,,0,0,0,True,False,,,,best_parent=29,0.9144896321685362,"[4.626977, -0.861959, -1.794209, 0.855103, 0.796444, 0.216174, -0.878888, -0.763341]","[5.002897, -0.957118, -2.03946, 0.95981, 0.825663, 0.222377, -0.917602, -0.745457]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
30,connect_goal,,31,32,0.08551380000426434,,,0,0,0,True,False,,,,periodic_goal_connected,0.9480217092792005,"[5.002897, -0.957118, -2.03946, 0.95981, 0.825663, 0.222377, -0.917602, -0.745457]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]",
31,add_node,goal_bias,31,33,0.08653870000125607,,,0,0,0,True,False,,,,best_parent=31,0.9480217092792005,"[5.002897, -0.957118, -2.03946, 0.95981, 0.825663, 0.222377, -0.917602, -0.745457]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
31,connect_goal,,31,33,0.08680680000543362,,,0,0,0,True,False,,,,periodic_goal_connected,0.9480217092792005,"[5.002897, -0.957118, -2.03946, 0.95981, 0.825663, 0.222377, -0.917602, -0.745457]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]",
32,add_node,random,25,34,0.09134640000411309,,,0,0,0,True,False,,,,best_parent=25,0.4094347443396237,"[1.855854, -0.15417, 0.13872, 0.477444, -0.134808, -0.541002, 0.939409, 0.654814]","[2.069365, -0.108284, -0.142256, 0.766779, -0.204384, -0.514376, 1.050332, 0.804224]","[3.093246, 0.111758, -1.489664, 2.154269, -0.538029, -0.386692, 1.582258, 1.52071]"
33,add_node,goal_bias,32,35,0.09263189999910537,,,0,0,0,True,False,,,,best_parent=32,0.9480217092792005,"[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
33,connect_goal,,31,35,0.092962599999737,,,0,0,0,True,False,,,,periodic_goal_connected,0.9480217092792005,"[5.002897, -0.957118, -2.03946, 0.95981, 0.825663, 0.222377, -0.917602, -0.745457]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]",
34,add_node,goal_bias,32,36,0.09403559999918798,,,0,0,0,True,False,,,,best_parent=32,0.9480217092792005,"[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
34,connect_goal,,31,36,0.09445070000219857,,,0,0,0,True,False,,,,periodic_goal_connected,0.9480217092792005,"[5.002897, -0.957118, -2.03946, 0.95981, 0.825663, 0.222377, -0.917602, -0.745457]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]",
35,add_node,random,23,37,0.09667590000026394,,,0,0,0,True,False,,,,best_parent=12,0.6235456492940377,"[1.941709, -0.363731, -0.654144, 0.156241, 0.194824, 0.019437, -0.300845, -0.384991]","[3.68284, -0.535198, -0.695027, 0.413131, 0.707392, 0.395867, -0.825228, -0.967465]","[5.385304, -0.152447, 2.674506, -0.772247, 0.694453, 2.234428, -1.404522, -2.362588]"
36,add_node,random,26,38,0.10162970000237692,,,0,0,0,True,False,,,,best_parent=1,0.4008801124697977,"[0.44207, -0.085408, -0.183516, 0.085982, 0.071779, 0.019273, -0.079996, -0.063217]","[2.19266, 0.013722, -0.877233, -0.543867, 0.561412, -0.057665, 0.094333, -0.997708]","[3.602016, 0.512008, -1.507861, -2.844921, 2.671117, -2.382822, -0.331661, -0.059058]"
37,add_node,random,9,39,0.10543570000299951,,,0,0,0,True,False,,,,best_parent=0,0.31825459502642905,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.599187, -0.087984, 1.048403, -0.752814, 0.302435, -0.657292, -0.914485, 0.8159]","[2.500855, -0.649523, 1.565735, -2.774661, 2.252137, -2.523156, -1.741396, 3.107666]"
38,add_node,random,22,40,0.11344540000573033,,,0,0,0,True,False,,,,best_parent=0,0.3086659051103799,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.346972, -0.223639, 0.478388, -0.562914, 0.186063, -0.833177, 0.895962, -0.201381]","[4.8941, -0.167054, 2.023282, -2.446373, 0.474277, -2.95021, 2.443447, -1.632733]"
39,add_node,random,33,41,0.1173997000005329,,,0,0,0,True,False,,,,best_parent=25,0.4675647646191885,"[1.855854, -0.15417, 0.13872, 0.477444, -0.134808, -0.541002, 0.939409, 0.654814]","[2.477547, -0.0746, -0.295154, 0.649485, -0.242761, -0.694238, 1.237443, 0.977322]","[6.589483, 0.264731, -1.835418, -0.532103, -0.62936, -2.506126, 3.122359, 2.721081]"
40,add_node,random,36,42,0.11990499999956228,,,0,0,0,True,False,,,,best_parent=12,0.649182141505904,"[1.941709, -0.363731, -0.654144, 0.156241, 0.194824, 0.019437, -0.300845, -0.384991]","[3.976786, -0.446681, -0.628526, 0.168299, 0.594051, 0.572749, -0.93471, -0.975718]","[6.712358, 0.377086, -0.00964, -2.110199, -0.460743, 2.218886, -1.953591, -1.052521]"
40,connect_goal,,31,42,0.12033109999902081,,,0,0,0,True,False,,,,periodic_goal_connected,0.9480217092792005,"[5.002897, -0.957118, -2.03946, 0.95981, 0.825663, 0.222377, -0.917602, -0.745457]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]",
41,add_node,random,26,43,0.12455890000273939,,,0,0,0,True,False,,,,best_parent=1,0.38604809087073577,"[0.44207, -0.085408, -0.183516, 0.085982, 0.071779, 0.019273, -0.079996, -0.063217]","[2.036314, 0.033103, -1.030388, -0.329958, -0.037539, 0.286225, 0.14055, -1.026221]","[2.040018, 0.405057, -2.139701, -0.54133, -1.843603, 0.706809, 0.134264, -0.648361]"
42,add_node,random,37,44,0.12761570000293432,,,0,0,0,True,False,,,,best_parent=26,0.4781335821408367,"[2.035567, -0.04182, -0.806941, -0.287382, 0.326255, 0.201507, 0.141816, -1.102334]","[2.473648, 0.064155, -1.029826, -0.643389, 0.694339, 0.142781, 0.279757, -0.769639]","[6.354033, 0.760626, -3.137104, -2.017758, 2.530029, 2.910896, 2.840428, 2.379935]"
43,add_node,goal_bias,32,45,0.1288660999998683,,,0,0,0,True,False,,,,best_parent=32,0.9480217092792005,"[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
43,connect_goal,,31,45,0.12930970000161324,,,0,0,0,True,False,,,,periodic_goal_connected,0.9480217092792005,"[5.002897, -0.957118, -2.03946, 0.95981, 0.825663, 0.222377, -0.917602, -0.745457]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]",
44,add_node,random,20,46,0.1327536000026157,,,0,0,0,True,False,,,,best_parent=0,0.28205870901095076,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.068789, 0.098063, 0.943699, -0.174969, 0.118784, 0.224082, -0.876984, 0.752551]","[5.064062, 0.549327, 3.110101, 1.452395, -0.391861, 2.425722, -2.859226, 0.017703]"
45,add_node,random,33,47,0.1360396000018227,,,0,0,0,True,False,,,,best_parent=2,0.455449362838109,"[0.778791, -0.176221, -0.143493, 0.131845, -0.048716, -0.144342, 0.149374, -0.020319]","[1.837398, -0.021612, -0.160164, 0.986099, -0.072745, -0.402456, 1.222376, 0.995168]","[0.263893, 0.566317, -0.281641, 2.473812, 0.820205, 0.356732, 2.389407, 2.2904]"
46,add_node,random,43,48,0.13831690000370145,,,0,0,0,True,False,,,,best_parent=26,0.5236030099656808,"[2.035567, -0.04182, -0.806941, -0.287382, 0.326255, 0.201507, 0.141816, -1.102334]","[2.305168, 0.15133, -1.205878, -0.86905, 0.565406, 0.130889, 0.526393, -0.774919]","[0.708982, 0.977232, -2.873797, -3.006969, -0.656102, 0.018224, 2.863023, -0.824936]"
47,add_node,random,47,49,0.14049530000193045,,,0,0,0,True,False,,,,best_parent=37,0.5646586773242408,"[2.19266, 0.013722, -0.877233, -0.543867, 0.561412, -0.057665, 0.094333, -0.997708]","[2.684878, 0.150246, -1.352366, -1.069963, 0.768088, 0.093704, 0.485088, -1.010057]","[6.119593, 0.140443, -2.677439, -2.88734, 2.60147, -0.242657, 0.111455, -3.137025]"
48,add_node,goal_bias,32,50,0.14172420000249986,,,0,0,0,True,False,,,,best_parent=32,0.9480217092792005,"[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
48,connect_goal,,31,50,0.142234400002053,,,0,0,0,True,False,,,,periodic_goal_connected,0.9480217092792005,"[5.002897, -0.957118, -2.03946, 0.95981, 0.825663, 0.222377, -0.917602, -0.745457]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]",
49,add_node,random,46,51,0.14454159999877447,,,0,0,0,True,False,,,,best_parent=2,0.4834723982021504,"[0.778791, -0.176221, -0.143493, 0.131845, -0.048716, -0.144342, 0.149374, -0.020319]","[1.841582, 0.055746, -0.095225, 1.176026, 0.265965, -0.219533, 1.180032, 1.051081]","[1.876864, 0.708031, 0.452349, 2.777523, 3.122006, 1.322895, 0.822982, 1.522546]"
50,add_node,random,14,52,0.1524139000030118,,,0,0,0,True,False,,,,best_parent=0,0.2784953231773327,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.652497, -0.225928, -0.371493, 0.34948, -0.462883, -0.136165, -0.406022, -0.414895]","[1.209186, -0.246747, -0.227342, 1.002066, -2.035751, -0.121151, -1.968205, 0.368934]"
50,connect_goal,,31,52,0.1532428999998956,,,0,0,0,True,False,,,,periodic_goal_connected,0.9480217092792005,"[5.002897, -0.957118, -2.03946, 0.95981, 0.825663, 0.222377, -0.917602, -0.745457]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]",
51,add_node,random,42,53,0.15753930000209948,,,0,0,0,True,False,,,,best_parent=1,0.42199709681009145,"[0.44207, -0.085408, -0.183516, 0.085982, 0.071779, 0.019273, -0.079996, -0.063217]","[1.982058, 0.002923, -1.270103, -0.545031, -0.144955, 0.048395, -0.002311, -1.248338]","[1.563389, -0.229962, -3.119896, -2.204673, -0.973845, -1.786857, -1.104721, -2.962337]"
52,add_node,goal_bias,32,54,0.15896760000032373,,,0,0,0,True,False,,,,best_parent=32,0.9480217092792005,"[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
52,connect_goal,,31,54,0.15957300000445684,,,0,0,0,True,False,,,,periodic_goal_connected,0.9480217092792005,"[5.002897, -0.957118, -2.03946, 0.95981, 0.825663, 0.222377, -0.917602, -0.745457]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]",
53,add_node,random,30,55,0.16701599999942118,,,0,0,0,True,False,,,,best_parent=30,0.41413765634260513,"[2.032244, -0.081188, -0.848637, 0.54339, 0.01452, -0.25964, 0.204514, -0.776829]","[2.373569, -0.079275, -0.899028, 0.772261, 0.031346, -0.528599, 0.102171, -0.97865]","[4.8583, -0.065351, -1.265855, 2.438364, 0.153838, -2.486524, -0.642851, -2.447839]"
54,add_node,goal_bias,32,56,0.16863379999995232,,,0,0,0,True,False,,,,best_parent=32,0.9480217092792005,"[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
54,connect_goal,,31,56,0.16928410000400618,,,0,0,0,True,False,,,,periodic_goal_connected,0.9480217092792005,"[5.002897, -0.957118, -2.03946, 0.95981, 0.825663, 0.222377, -0.917602, -0.745457]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]",
55,add_node,random,40,57,0.17116109999915352,,,0,0,0,True,False,,,,best_parent=25,0.5116782243386453,"[1.855854, -0.15417, 0.13872, 0.477444, -0.134808, -0.541002, 0.939409, 0.654814]","[2.753308, 0.017845, -0.096051, 0.565203, -0.331932, -0.534656, 1.358247, 1.136485]","[5.454285, 0.923314, 1.854092, -0.260309, -1.205339, 1.028394, 2.541486, 2.695422]"
56,add_node,random,21,58,0.17424690000189003,,,0,0,0,True,False,,,,best_parent=11,0.5630775026672044,"[1.515783, -0.279932, -0.457227, 0.0441, 0.109727, -0.007761, -0.217085, -0.338284]","[2.922466, -0.611181, -1.286598, 0.282575, 0.805492, 0.122539, -0.547059, -0.287031]","[0.963741, -0.987855, -2.40159, 0.020181, 3.105865, 0.464427, -0.383576, 3.114524]"
57,add_node,goal_bias,32,59,0.17568110000138404,,,0,0,0,True,False,,,,best_parent=32,0.9480217092792005,"[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
