iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
31,extend,goal_bias,14,28,0.2925710999988951,0.0005879999989701901,0.0005879999989701901,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]",1.0,extend_edge_collision,,"[4.892153, 0.167169, 0.251953, 0.919519, -0.183006, -1.086885, 0.510327, -1.720283]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]","[5.03654, 0.021986, 0.618179, 1.38624, -0.442241, -1.723162, 0.500885, -1.783881]"
32,add_node,random,9,29,0.31952219999948284,,,True,False,,,,best_parent=7,0.4555270842754383,"[4.791965, 0.5279, -0.072647, 0.259874, 0.339921, -0.469814, 1.001766, -1.839405]","[4.982809, 0.42031, -0.383505, 0.172936, -0.149227, -0.016316, 0.369344, -1.682818]","[7.036401, 0.687956, -1.037684, -0.232259, -2.5047, 0.893529, -0.679929, -2.063006]"
33,extend,goal_bias,14,29,0.3209664999994857,0.0006021999997756211,0.0006021999997756211,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]",1.0,extend_edge_collision,,"[4.892153, 0.167169, 0.251953, 0.919519, -0.183006, -1.086885, 0.510327, -1.720283]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]","[5.03654, 0.021986, 0.618179, 1.38624, -0.442241, -1.723162, 0.500885, -1.783881]"
34,extend,goal_bias,14,29,0.3216859999993176,0.0005529999998543644,0.0005529999998543644,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]",1.0,extend_edge_collision,,"[4.892153, 0.167169, 0.251953, 0.919519, -0.183006, -1.086885, 0.510327, -1.720283]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]","[5.03654, 0.021986, 0.618179, 1.38624, -0.442241, -1.723162, 0.500885, -1.783881]"
35,add_node,random,28,30,0.34715569999934814,,,True,False,,,,best_parent=7,0.5080215424191957,"[4.791965, 0.5279, -0.072647, 0.259874, 0.339921, -0.469814, 1.001766, -1.839405]","[5.249258, 0.478107, -0.380269, 0.030984, -0.338442, -0.034908, 0.027983, -1.724893]","[7.060769, 0.871052, -0.358269, -0.934108, -1.624864, -0.161316, -2.292838, -2.010954]"
36,add_node,random,21,31,0.35699409999870113,,,True,False,,,,best_parent=4,0.5793215884251932,"[4.506701, 0.620293, 0.525969, -0.097643, 0.034853, -0.754859, 1.172073, -1.691658]","[2.805457, 0.30328, 0.674712, -1.044919, -0.560204, -0.902209, 0.93505, -1.460116]","[0.471635, 0.265578, 1.608117, -2.749534, -1.187564, -0.660519, 2.510314, -1.950555]"
37,extend,goal_bias,14,31,0.3580757999989146,0.0006266000000323402,0.0006266000000323402,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]",1.0,extend_edge_collision,,"[4.892153, 0.167169, 0.251953, 0.919519, -0.183006, -1.086885, 0.510327, -1.720283]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]","[5.03654, 0.021986, 0.618179, 1.38624, -0.442241, -1.723162, 0.500885, -1.783881]"
38,add_node,random,26,32,0.3790122999998857,,,True,False,,,,best_parent=4,0.5895490915931627,"[4.506701, 0.620293, 0.525969, -0.097643, 0.034853, -0.754859, 1.172073, -1.691658]","[4.124751, 0.638349, 0.028445, -1.217349, -0.34766, 0.075749, 0.914475, -0.279653]","[6.318341, 0.904976, 0.596676, -3.017277, 0.226351, 2.642156, -1.528478, 0.512311]"
39,extend,goal_bias,14,32,0.38062949999948614,0.0007443000013154233,0.0007443000013154233,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]",1.0,extend_edge_collision,,"[4.892153, 0.167169, 0.251953, 0.919519, -0.183006, -1.086885, 0.510327, -1.720283]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]","[5.03654, 0.021986, 0.618179, 1.38624, -0.442241, -1.723162, 0.500885, -1.783881]"
40,add_node,random,25,33,0.40204959999937273,,,True,False,,,,best_parent=7,0.5789604113157389,"[4.791965, 0.5279, -0.072647, 0.259874, 0.339921, -0.469814, 1.001766, -1.839405]","[4.649263, 0.160317, -0.043344, 0.517651, 0.669402, 0.341023, 0.23365, -1.079714]","[6.354194, -0.611606, 1.435065, 2.768531, 2.466194, 0.72251, -1.995396, 0.531582]"
