iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
51,add_node,random,45,53,True,False,,,,best_parent=30,0.7468858212374951,"[2.348254, -0.464537, -0.133557, -0.585921, -0.314681, 0.041699, -0.049656, -0.241928]","[2.695274, -0.143691, 0.304874, -0.248749, 0.5662, 0.070428, -0.790017, -0.665364]","[3.413769, 0.672486, -1.512897, 1.338173, 2.89137, -1.690142, -1.54366, 0.533849]"
52,add_node,goal_bias,37,54,True,False,,,,best_parent=37,0.3945588766243533,"[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]"
52,connect_goal,,37,54,True,False,,,,periodic_goal_connected,0.3945588766243533,"[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]",
53,add_node,random,9,55,True,False,,,,best_parent=0,0.31368934166721524,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[2.705354, -0.569044, -0.535509, -0.927016, -1.586453, 0.728304, 0.332836, -0.151953]","[3.408721, -0.758638, 0.962817, -1.195868, -3.028213, 1.017926, -0.734225, -1.894096]"
54,add_node,random,45,56,True,False,,,,best_parent=30,0.7315658062116344,"[2.348254, -0.464537, -0.133557, -0.585921, -0.314681, 0.041699, -0.049656, -0.241928]","[2.804644, -0.195925, 0.745722, -0.483575, 0.045181, 0.247395, -0.524429, -0.989491]","[4.258954, 0.063295, 2.729586, -1.031352, -2.153988, 0.195651, 0.951673, -2.56103]"
55,add_node,random,46,57,True,False,,,,best_parent=20,0.7635082153306196,"[3.148198, -0.126983, -0.562339, -0.89609, -0.668591, 0.762472, 0.480933, 0.543999]","[3.015824, 0.212256, -1.182571, -0.988463, -0.342638, 0.988621, -0.313479, 0.427135]","[3.021165, 0.929001, -2.438553, -0.314655, 0.704808, 1.958106, -1.574995, -2.665757]"
56,add_node,random,52,58,True,False,,,,best_parent=30,0.7657894580519387,"[2.348254, -0.464537, -0.133557, -0.585921, -0.314681, 0.041699, -0.049656, -0.241928]","[2.860232, -0.127596, 0.066411, -0.320544, 0.567266, -0.301337, -0.88366, -0.819173]","[3.620199, -0.053444, -1.032194, -0.651307, 0.572176, -2.014076, -1.315078, -1.527775]"
57,add_node,random,56,59,True,False,,,,best_parent=20,0.8164098020983577,"[3.148198, -0.126983, -0.562339, -0.89609, -0.668591, 0.762472, 0.480933, 0.543999]","[2.756947, 0.318867, -1.318682, -0.871043, -0.406016, 0.933706, -0.301266, 0.185275]","[1.790603, 0.716829, -1.826762, -0.432737, -0.642594, 0.728717, -0.255676, -0.717544]"
58,add_node,random,48,60,True,False,,,,best_parent=48,0.7301063235933022,"[3.909142, -0.038937, -0.239932, -0.458994, -0.482938, 0.730487, 0.231538, 1.085734]","[4.120932, 0.016497, -0.042397, -0.213799, -0.309641, 0.673754, 0.445116, 1.21126]","[6.632657, 0.673909, 2.300276, 2.694089, 1.745583, 0.000924, 2.978047, 2.699942]"
59,add_node,random,59,61,True,False,,,,best_parent=48,0.7718031685359404,"[3.909142, -0.038937, -0.239932, -0.458994, -0.482938, 0.730487, 0.231538, 1.085734]","[3.950036, 0.093584, 0.086825, -0.046166, -0.53133, 0.480288, 0.280601, 1.34134]","[2.83854, 0.594955, 0.927274, 1.044113, -1.973186, -0.778, -0.789402, 2.187372]"
60,add_node,random,44,62,True,False,,,,best_parent=44,0.7048976465790724,"[4.042423, -0.109464, -0.240688, -0.983903, -0.837293, 1.139251, 0.097637, 1.172278]","[4.235004, -0.034233, -0.212216, -1.233155, -1.104637, 1.327458, 0.128615, 1.123524]","[5.625826, 0.509084, -0.006584, -3.03326, -3.035399, 2.686694, 0.352341, 0.771426]"
60,connect_goal,,37,62,True,False,,,,periodic_goal_connected,0.3945588766243533,"[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]",
61,add_node,random,56,63,True,False,,,,best_parent=20,0.8048450626116588,"[3.148198, -0.126983, -0.562339, -0.89609, -0.668591, 0.762472, 0.480933, 0.543999]","[3.371935, 0.242874, -1.278043, -0.724745, -0.120272, 1.136857, -0.424945, 0.40438]","[5.583173, 0.432994, -1.87087, 0.912786, 1.26049, 2.057308, -1.117084, 0.263085]"
