iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
24,add_node,random,12,18,True,False,,,,best_parent=5,0.4186131095987751,"[2.073273, 0.430688, -0.911663, 0.20206, -0.327123, -1.511865, -1.543974, -0.630228]","[2.141038, 0.43128, -1.416489, -0.605788, -0.69858, -1.039453, -1.271228, -0.454632]","[2.068284, 0.911775, -2.823142, -2.440849, -2.963328, -2.173174, -1.852419, -0.493127]"
25,add_node,random,8,19,True,False,,,,best_parent=1,0.40233903126988335,"[1.591027, 0.447135, -0.685045, 0.832269, -0.147197, -2.341494, -1.686503, -0.436801]","[2.072234, 0.244576, -1.100572, 0.417639, -0.442423, -0.678275, -1.213227, -0.083459]","[1.879021, 0.118515, -2.222008, 2.119668, -0.458407, -0.432794, -2.330355, 1.431013]"
26,add_node,random,11,20,True,False,,,,best_parent=5,0.5384548137536576,"[2.073273, 0.430688, -0.911663, 0.20206, -0.327123, -1.511865, -1.543974, -0.630228]","[3.281513, 0.317502, -0.046911, 0.049418, -0.794499, -1.027315, -0.374748, -0.367414]","[4.752529, 0.521537, 3.043696, -1.90364, -1.656977, -2.6452, 1.299332, -1.586385]"
27,add_node,random,19,21,True,False,,,,best_parent=5,0.5587782894867843,"[2.073273, 0.430688, -0.911663, 0.20206, -0.327123, -1.511865, -1.543974, -0.630228]","[3.287519, 0.321608, -0.293511, -0.063367, -0.84355, -1.208802, -0.015416, -0.486669]","[3.326019, 0.347935, -1.874358, -0.786383, -1.15799, -2.372241, 2.288111, -1.251163]"
28,add_node,random,15,22,True,False,,,,best_parent=5,0.5634680916625876,"[2.073273, 0.430688, -0.911663, 0.20206, -0.327123, -1.511865, -1.543974, -0.630228]","[2.45715, 0.112789, 0.209605, -0.168311, -0.895526, -0.538272, -0.821735, -0.380196]","[0.950885, -0.866124, 3.047758, 0.015137, -2.226288, 0.76953, 0.279867, -1.274724]"
29,add_node,random,14,23,True,False,,,,best_parent=14,0.6086020125962842,"[3.365207, 0.232195, -0.292778, 0.367715, -0.487195, -1.057888, -0.562896, 0.025252]","[3.695966, 0.167536, -0.297927, 0.537448, -0.515406, -0.848549, -0.376136, 0.208876]","[7.606827, -0.596987, -0.358807, 2.544354, -0.848969, 1.626651, 1.83209, 2.380033]"
30,add_node,random,16,24,True,False,,,,best_parent=5,0.5403997004603164,"[2.073273, 0.430688, -0.911663, 0.20206, -0.327123, -1.511865, -1.543974, -0.630228]","[2.626337, 0.204417, -0.750136, 0.437016, 0.066327, -0.27201, -0.410495, -0.647539]","[4.675441, 0.277163, -2.339409, 1.980991, 1.529561, 0.539999, 1.934978, -2.16571]"
31,extend,goal_bias,3,24,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[1.632673, 0.448661, -0.629349, 1.101448, -0.475171, -2.241471, -1.32958, -0.526403]",0.14285714285714285,extend_edge_collision,,"[1.627467, 0.44847, -0.636311, 1.0678, -0.434174, -2.253974, -1.374195, -0.515203]","[1.663907, 0.449805, -0.587577, 1.303332, -0.721151, -2.166454, -1.061887, -0.593605]","[1.755064, 0.453146, -0.465666, 1.892525, -1.439037, -1.947518, -0.280635, -0.789732]"
32,extend,goal_bias,3,24,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[1.632673, 0.448661, -0.629349, 1.101448, -0.475171, -2.241471, -1.32958, -0.526403]",0.14285714285714285,extend_edge_collision,,"[1.627467, 0.44847, -0.636311, 1.0678, -0.434174, -2.253974, -1.374195, -0.515203]","[1.663907, 0.449805, -0.587577, 1.303332, -0.721151, -2.166454, -1.061887, -0.593605]","[1.755064, 0.453146, -0.465666, 1.892525, -1.439037, -1.947518, -0.280635, -0.789732]"
33,add_node,random,18,25,True,False,,,,best_parent=1,0.4243207209235233,"[1.591027, 0.447135, -0.685045, 0.832269, -0.147197, -2.341494, -1.686503, -0.436801]","[1.877555, 0.136338, -1.036584, 0.585079, -0.63917, -0.667198, -1.298762, 0.102733]","[0.277116, -0.753474, -0.510549, 1.961587, -2.256606, -0.576139, -2.001939, 1.633395]"
34,add_node,random,20,26,True,False,,,,best_parent=20,0.6387782894867843,"[3.287519, 0.321608, -0.293511, -0.063367, -0.84355, -1.208802, -0.015416, -0.486669]","[3.677377, 0.257753, -0.179443, -0.304839, -0.901314, -1.145344, 0.117637, -0.627276]","[7.861178, -0.427519, 1.044686, -2.896222, -1.521223, -0.464336, 1.545513, -2.136216]"
35,add_node,random,17,27,True,False,,,,best_parent=5,0.45843710536935744,"[2.073273, 0.430688, -0.911663, 0.20206, -0.327123, -1.511865, -1.543974, -0.630228]","[2.345168, 0.48297, -1.567192, -0.635155, -1.012427, -0.995655, -1.268572, -0.729824]","[3.623246, 0.806608, -2.510759, -0.819026, -2.977452, -0.721432, -1.251942, -2.452829]"
36,add_node,random,6,28,True,False,,,,best_parent=0,0.29516248143842194,"[1.639282, 0.538089, -0.666267, 0.88684, -0.412019, -2.596525, -1.788258, -0.293579]","[2.019582, 0.548932, -0.880733, 0.021162, -0.584522, -1.036362, -1.59789, -0.074822]","[1.845834, 0.974192, -0.958475, -0.586218, -0.927947, -0.025955, -2.983103, 1.712697]"
37,add_node,random,25,29,True,False,,,,best_parent=20,0.7106271640320907,"[3.287519, 0.321608, -0.293511, -0.063367, -0.84355, -1.208802, -0.015416, -0.486669]","[4.072177, 0.233322, -0.01346, -0.359216, -1.031916, -1.25249, 0.357862, -0.804114]","[7.128143, 0.044212, 1.271343, -0.780122, -2.042846, -2.081854, 2.217332, -2.172941]"
38,add_node,random,23,30,True,False,,,,best_parent=23,0.6203997004603163,"[2.626337, 0.204417, -0.750136, 0.437016, 0.066327, -0.27201, -0.410495, -0.647539]","[2.530038, 0.119134, -0.869286, 0.630298, 0.171629, -0.028969, -0.181777, -0.619054]","[1.432173, -0.853136, -2.227661, 2.833824, 1.37213, 2.741829, 2.425729, -0.294298]"
39,add_node,random,22,31,True,False,,,,best_parent=11,0.6772997849057855,"[3.126718, 0.296031, -0.372136, 0.254938, -0.703741, -0.857065, -0.550912, -0.239141]","[3.911499, 0.102014, -0.311666, 0.494814, -0.435079, -0.469396, -0.241877, 0.311251]","[5.378682, -0.344005, -0.405185, 0.204592, 0.111722, 2.111579, 0.672056, 1.008133]"
40,add_node,random,28,32,True,False,,,,best_parent=19,0.7464593133350359,"[3.281513, 0.317502, -0.046911, 0.049418, -0.794499, -1.027315, -0.374748, -0.367414]","[4.230619, 0.256185, 0.210998, -0.629668, -1.166256, -1.025364, 0.179943, -0.723033]","[5.382388, 0.422387, 1.842661, -2.595682, -2.142816, 0.625696, -1.113411, -0.133621]"
