iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,new_node_collision_count,random_new_node_collision_count,rewire_collision_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
24,add_node,random,18,20,0.03774890000204323,,,6,0,0,True,False,,,,best_parent=9,0.8003679924946493,"[5.317589, 0.668723, 1.810779, -0.868242, 0.748519, 1.733569, 0.986614, 2.262049]","[4.856718, 0.418154, 1.159155, -0.136853, 0.323648, 0.756042, 0.089021, 2.056815]","[2.848457, -0.789348, -1.200976, 1.33938, -2.143207, -2.351107, -0.79397, 1.589837]"
25,add_node,random,17,21,0.04005200000392506,,,6,0,0,True,False,,,,best_parent=15,0.8109239567405117,"[4.775127, 0.392047, 1.680083, -0.90605, 0.355564, 1.911129, 1.158375, 1.682153]","[4.445634, 0.14801, 1.517595, -0.608979, 0.094178, 1.558551, 1.319979, 0.992849]","[5.046953, -0.699448, 0.592824, 1.051653, -0.521332, -0.072408, 1.712215, -0.575816]"
26,add_node,random,19,22,0.0433405000003404,,,6,0,0,True,False,,,,best_parent=10,0.869965681972511,"[5.365651, 0.612997, 1.515589, -0.727966, 0.823584, 1.466076, 0.796983, 2.281174]","[4.585688, 0.338499, 0.918471, -0.234477, 0.211741, 0.655221, -0.121845, 1.962915]","[1.185688, -0.660746, -2.100835, -1.459137, -1.192104, -0.609549, -2.767091, 0.784968]"
27,add_node,random,20,23,0.04507569999987027,,,6,0,0,True,False,,,,best_parent=15,0.8696947732018732,"[4.775127, 0.392047, 1.680083, -0.90605, 0.355564, 1.911129, 1.158375, 1.682153]","[4.23395, 0.082062, 1.194401, -0.639381, 0.127461, 1.370436, 1.193231, 0.840301]","[2.482919, -0.463451, -1.479027, -0.890868, 0.402774, -0.185636, 0.144779, -0.421559]"
28,add_node,random,20,24,0.0465944000025047,,,6,0,0,True,False,,,,best_parent=15,0.845048352734026,"[4.775127, 0.392047, 1.680083, -0.90605, 0.355564, 1.911129, 1.158375, 1.682153]","[4.771808, 0.145484, 1.555475, -0.724882, 0.013795, 1.641429, 1.525184, 0.65402]","[6.78821, 0.129868, 1.789653, -1.441391, -0.483126, 2.153778, 2.793751, -1.440608]"
29,add_node,random,21,25,0.048371299999416806,,,6,0,0,True,False,,,,best_parent=10,0.8991427605238218,"[5.365651, 0.612997, 1.515589, -0.727966, 0.823584, 1.466076, 0.796983, 2.281174]","[4.639854, 0.359808, 0.614002, -0.037117, 0.273089, 0.81786, -0.273174, 1.715313]","[5.210732, 0.584388, -2.594917, 2.042927, 0.919657, 2.531972, -1.868086, -0.894258]"
30,extend,goal_bias,4,25,0.049345800005539786,0.0007935000030556694,0.0007935000030556694,7,0,0,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[6.032219, 0.995348, 3.055017, -1.307472, 1.651391, 3.057601, 1.579411, 3.124871]",0.5714285714285714,extend_edge_collision,,"[6.007777, 0.994126, 3.032692, -1.143003, 1.483959, 3.035955, 1.740531, 3.120897]","[6.050551, 0.996265, 3.07176, -1.430824, 1.776965, 3.073835, 1.45857, 3.127852]","[6.125266, 1.0, 3.14, -1.93356, 2.28876, 3.14, 0.966068, 3.14]"
31,add_node,random,24,26,0.050771599999279715,,,7,0,0,True,False,,,,best_parent=11,0.926578564818517,"[5.210186, 0.58153, 1.191593, -0.490665, 0.914264, 1.345526, 0.659013, 2.12531]","[4.268642, 0.3726, 0.31817, -0.095006, 0.409998, 1.023452, -0.373508, 1.673271]","[1.423662, 0.470634, -1.949095, -0.53867, 1.459275, 2.599123, -1.142472, 1.351062]"
32,add_node,random,8,27,0.05470390000118641,,,7,0,0,True,False,,,,best_parent=7,0.45809353377162876,"[5.508121, 0.784906, 2.153511, -0.791451, 0.740018, 2.442242, 1.19721, 2.475775]","[5.751369, 0.751278, 2.086035, -0.861125, 0.702243, 2.174437, 0.735379, 2.081764]","[7.701743, 0.755193, 2.644975, -0.4966, 1.231143, 2.814236, -1.298942, 0.631358]"
33,add_node,random,22,28,0.056972000005771406,,,7,0,0,True,False,,,,best_parent=15,0.9048167924435084,"[4.775127, 0.392047, 1.680083, -0.90605, 0.355564, 1.911129, 1.158375, 1.682153]","[4.310979, 0.082807, 1.031843, -0.277329, -0.152245, 1.437494, 1.230013, 0.756287]","[4.780972, 0.087351, 0.039998, 1.93172, -1.858859, 1.846647, 1.454437, 0.243675]"
34,add_node,random,24,29,0.05948730000091018,,,7,0,0,True,False,,,,best_parent=18,0.9548341593426212,"[5.013505, 0.512425, 1.343412, -0.252104, 0.516238, 0.998619, 0.157956, 2.093272]","[4.751801, 0.309468, 0.719567, 0.159445, 0.049768, 0.583953, -0.373281, 1.480548]","[5.841849, -0.180699, 1.747474, 2.073397, -2.124741, -1.693628, -1.348036, -0.805392]"
35,add_node,random,13,30,0.06371110000327462,,,7,0,0,True,False,,,,best_parent=10,0.7211647158596117,"[5.365651, 0.612997, 1.515589, -0.727966, 0.823584, 1.466076, 0.796983, 2.281174]","[5.512071, 0.585644, 0.952609, -0.577245, 0.688886, 0.709245, 0.659078, 2.180285]","[7.130737, 0.857755, -0.968802, -1.027566, 0.925275, -1.593383, 2.476301, 2.808802]"
36,add_node,random,25,31,0.06607610000355635,,,7,0,0,True,False,,,,best_parent=11,0.9380527644546842,"[5.210186, 0.58153, 1.191593, -0.490665, 0.914264, 1.345526, 0.659013, 2.12531]","[4.35451, 0.409534, 0.279152, -0.341039, 0.671231, 0.847066, -0.55429, 1.472759]","[5.161024, 0.756441, -0.087328, -2.651906, 3.124865, -0.809654, -2.252287, -0.410563]"
37,add_node,random,30,32,0.06808480000472628,,,7,0,0,True,False,,,,best_parent=13,1.0123736987354706,"[5.30441, 0.550734, 1.19911, -0.519473, 0.65856, 1.004653, 0.425943, 2.099651]","[4.211597, 0.301666, 0.150847, -0.426729, 0.885102, 0.688123, -0.684141, 1.358272]","[3.039841, -0.582753, -0.901133, -1.129315, 2.638653, -0.615061, -1.748806, 0.41959]"
38,add_node,random,27,33,0.0694597000037902,,,7,0,0,True,False,,,,best_parent=15,0.9240757586266315,"[4.775127, 0.392047, 1.680083, -0.90605, 0.355564, 1.911129, 1.158375, 1.682153]","[4.139837, 0.007454, 1.185149, -0.370835, -0.466466, 1.480744, 1.337025, 0.939619]","[2.726186, -0.614968, 2.451471, -1.143202, -3.06196, 1.83799, 2.220951, 2.453961]"
39,add_node,random,27,34,0.07098340000084136,,,7,0,0,True,False,,,,best_parent=27,0.9848167924435085,"[4.310979, 0.082807, 1.031843, -0.277329, -0.152245, 1.437494, 1.230013, 0.756287]","[4.344627, 0.06298, 0.677981, -0.055242, -0.189828, 1.436212, 1.295895, 0.496442]","[4.687248, -0.138912, -2.925286, 2.206205, -0.572524, 1.423152, 1.966751, -2.149486]"
40,add_node,random,31,35,0.07310449999931734,,,7,0,0,True,False,,,,best_parent=30,1.07486629335653,"[4.35451, 0.409534, 0.279152, -0.341039, 0.671231, 0.847066, -0.55429, 1.472759]","[3.894883, 0.201195, -0.092939, -0.417039, 0.745173, 0.745899, -0.680327, 1.442147]","[1.449065, -0.574686, -1.975571, -0.342204, -0.335429, 1.192073, -0.650867, 2.089871]"
41,extend,goal_bias,4,35,0.0741656000027433,0.0008670000024721958,0.0008670000024721958,8,0,0,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[6.032219, 0.995348, 3.055017, -1.307472, 1.651391, 3.057601, 1.579411, 3.124871]",0.5714285714285714,extend_edge_collision,,"[6.007777, 0.994126, 3.032692, -1.143003, 1.483959, 3.035955, 1.740531, 3.120897]","[6.050551, 0.996265, 3.07176, -1.430824, 1.776965, 3.073835, 1.45857, 3.127852]","[6.125266, 1.0, 3.14, -1.93356, 2.28876, 3.14, 0.966068, 3.14]"
42,add_node,random,22,36,0.07590540000092005,,,8,0,0,True,False,,,,best_parent=15,0.9273854255051945,"[4.775127, 0.392047, 1.680083, -0.90605, 0.355564, 1.911129, 1.158375, 1.682153]","[4.106961, 0.013195, 1.387979, -0.573137, 0.25361, 1.188592, 1.284262, 0.529938]","[3.366966, -0.388115, 2.516002, -0.187115, 0.988715, 0.128941, 1.814726, -1.278627]"
43,add_node,random,30,37,0.0787964000046486,,,8,0,0,True,False,,,,best_parent=11,0.9467468274200036,"[5.210186, 0.58153, 1.191593, -0.490665, 0.914264, 1.345526, 0.659013, 2.12531]","[4.287182, 0.466276, 0.402885, -0.542125, 0.762245, 1.12995, -0.729328, 1.265139]","[3.81693, 0.862584, 1.267093, -1.946603, 1.39793, 3.105742, -1.951876, -0.184965]"
44,extend,goal_bias,4,37,0.07978430000366643,0.0007284000021172687,0.0007284000021172687,9,0,0,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[6.032219, 0.995348, 3.055017, -1.307472, 1.651391, 3.057601, 1.579411, 3.124871]",0.5714285714285714,extend_edge_collision,,"[6.007777, 0.994126, 3.032692, -1.143003, 1.483959, 3.035955, 1.740531, 3.120897]","[6.050551, 0.996265, 3.07176, -1.430824, 1.776965, 3.073835, 1.45857, 3.127852]","[6.125266, 1.0, 3.14, -1.93356, 2.28876, 3.14, 0.966068, 3.14]"
45,add_node,random,28,38,0.08258360000036191,,,9,0,0,True,False,,,,best_parent=13,1.0064279467771895,"[5.30441, 0.550734, 1.19911, -0.519473, 0.65856, 1.004653, 0.425943, 2.099651]","[4.65313, 0.234382, 0.775499, 0.380243, 0.036647, 0.248795, -0.274665, 1.351878]","[3.787254, -0.424527, 1.266322, 2.317825, -0.078499, -2.692335, 0.590718, 0.222753]"
46,add_node,random,34,39,0.08498379999946337,,,9,0,0,True,False,,,,best_parent=25,1.1362023698566108,"[4.268642, 0.3726, 0.31817, -0.095006, 0.409998, 1.023452, -0.373508, 1.673271]","[3.566568, 0.151599, -0.305815, -0.180873, 0.88505, 0.85299, -0.845468, 1.416828]","[0.555466, -0.30327, -2.258181, 1.985092, 2.167911, 1.835165, -2.36004, 1.184618]"
47,add_node,random,28,40,0.08848360000411049,,,9,0,0,True,False,,,,best_parent=13,0.9843314621685004,"[5.30441, 0.550734, 1.19911, -0.519473, 0.65856, 1.004653, 0.425943, 2.099651]","[4.980024, 0.339118, 0.544254, 0.06275, -0.299358, 0.475164, -0.331602, 1.292723]","[6.45517, 0.530762, -0.588906, -0.562247, -2.555985, -0.228008, -0.062204, 0.078691]"
48,add_node,random,37,41,0.09234680000372464,,,9,0,0,True,False,,,,best_parent=13,1.019540616936691,"[5.30441, 0.550734, 1.19911, -0.519473, 0.65856, 1.004653, 0.425943, 2.099651]","[4.797209, 0.247882, 0.472202, 0.393744, 0.210146, -0.045253, -0.105822, 1.336226]","[6.087645, 0.368796, -2.244259, 0.514658, 1.764084, -2.678874, 1.406415, 1.196047]"
