iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
31,add_node,random,19,33,0.07337430000006862,,,True,False,,,,best_parent=7,0.514439025346634,"[6.322197, -0.486017, -1.407135, -0.915958, -0.188055, 0.858997, -1.61623, -0.757814]","[5.988568, -0.436899, -0.332644, -0.495863, -0.673195, 0.402122, -1.097556, -0.33078]","[6.330474, -0.559319, 2.896618, 1.273517, -2.623915, 2.839697, -2.235593, -1.374767]"
32,add_node,random,31,34,0.0755511999996088,,,True,False,,,,best_parent=24,0.7643385530025387,"[5.156308, -0.411885, -1.427555, -0.542929, -0.192027, 1.102589, -0.176379, -0.516157]","[4.153863, -0.420461, -1.70422, -0.198805, 0.391205, 1.215508, 0.432287, -0.854431]","[3.956525, -0.639349, -2.870105, 1.555865, 0.750736, 2.043187, 0.599569, -2.202619]"
33,add_node,random,26,35,0.07748759999958565,,,True,False,,,,best_parent=21,0.8004154501400749,"[6.017959, -0.094303, -1.116417, -0.235982, -0.168342, 0.804821, -0.54302, -0.238849]","[5.052636, 0.117352, -0.35981, -0.281918, 0.311661, 0.435753, -0.248645, 0.258085]","[1.10555, -0.028124, 1.953172, -2.197478, 1.388114, -1.013709, -1.371476, 0.299075]"
34,add_node,goal_bias,27,36,0.07868219999909343,,,True,False,,,,best_parent=13,0.714734717734769,"[5.432215, -0.188997, -1.874453, -0.723271, -0.809495, 0.454676, -2.285563, -0.5495]","[4.560675, 0.141143, -2.336723, -0.249073, -1.385697, 0.372753, -2.673761, -0.346909]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]"
35,add_node,random,34,37,0.08047799999985727,,,True,False,,,,best_parent=21,0.8539918518156131,"[6.017959, -0.094303, -1.116417, -0.235982, -0.168342, 0.804821, -0.54302, -0.238849]","[5.124944, 0.172699, -0.06052, -0.267267, 0.492335, 0.437644, -0.450236, 0.494357]","[5.877831, 0.748978, 3.055725, -0.114717, 2.373527, 0.457332, -2.549228, 2.954454]"
36,add_node,random,33,38,0.08228369999960705,,,True,False,,,,best_parent=24,0.7949922417669422,"[5.156308, -0.411885, -1.427555, -0.542929, -0.192027, 1.102589, -0.176379, -0.516157]","[3.894931, -0.432556, -1.459501, 0.01685, 0.160007, 1.078048, 0.574867, -0.952024]","[0.494218, -0.591416, 1.754551, 2.849188, -2.876462, -0.727303, 2.447459, -2.233768]"
37,add_node,random,29,39,0.0865126999997301,,,True,False,,,,best_parent=9,0.6461003948741701,"[6.324252, -0.428819, -1.381206, -0.636647, -0.013734, 0.878638, -1.313483, -0.619862]","[4.923302, -0.452091, -1.573499, -0.849771, -0.311746, 1.53549, 0.08012, -0.083629]","[5.93939, -0.737351, -2.266774, -2.18925, -1.202244, 2.889826, 0.035603, 1.463986]"
38,add_node,goal_bias,35,40,0.0880883999998332,,,True,False,,,,best_parent=13,0.7903543250110845,"[5.432215, -0.188997, -1.874453, -0.723271, -0.809495, 0.454676, -2.285563, -0.5495]","[4.362116, 0.245036, -2.557925, -0.180526, -1.500992, 0.296549, -2.802152, -0.168423]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]"
39,add_node,random,23,41,0.0913604999987001,,,True,False,,,,best_parent=21,0.7229697343794899,"[6.017959, -0.094303, -1.116417, -0.235982, -0.168342, 0.804821, -0.54302, -0.238849]","[6.353182, 0.104088, -0.951303, -0.173214, -0.288361, 0.503282, 0.018701, 0.153357]","[7.134322, 0.380812, -2.120207, 1.324745, -2.675139, -1.2873, 1.501857, 2.004244]"
40,add_node,random,32,42,0.09653719999914756,,,True,False,,,,best_parent=6,0.5537173993249194,"[6.148382, -0.507113, -1.305353, -1.048448, -0.362108, 0.615957, -1.901334, -0.93207]","[5.747181, -0.409111, -0.087478, -0.470236, -0.849346, 0.103827, -1.151335, -0.486687]","[3.38945, -0.137694, 2.307165, -0.219934, -2.569887, -2.809751, -1.676608, -2.009493]"
41,add_node,random,36,43,0.09905969999999797,,,True,False,,,,best_parent=21,0.8735207350336187,"[6.017959, -0.094303, -1.116417, -0.235982, -0.168342, 0.804821, -0.54302, -0.238849]","[5.168723, 0.170742, 0.242123, -0.511063, 0.557387, 0.679764, -0.480391, 0.303663]","[5.527635, 0.1547, 2.723268, -2.509772, 1.090706, 2.66473, -0.727612, -1.259698]"
42,add_node,goal_bias,39,44,0.10048259999894071,,,True,False,,,,best_parent=14,0.8678167681045462,"[5.193493, -0.082958, -2.064153, -0.614878, -0.958624, 0.400916, -2.41364, -0.421977]","[4.163557, 0.348928, -2.779128, -0.111979, -1.616287, 0.220346, -2.930542, 0.010064]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]"
43,add_node,random,22,45,0.10497409999879892,,,True,False,,,,best_parent=9,0.6354485245256345,"[6.324252, -0.428819, -1.381206, -0.636647, -0.013734, 0.878638, -1.313483, -0.619862]","[6.295244, -0.013127, -0.935536, -0.089253, -0.071138, 0.211662, -0.238696, -0.539905]","[7.513794, -0.128272, -0.511145, 1.704162, -0.462013, -2.135294, 1.020473, -2.310048]"
44,add_node,random,37,46,0.10745739999947546,,,True,False,,,,best_parent=24,0.8383736055089333,"[5.156308, -0.411885, -1.427555, -0.542929, -0.192027, 1.102589, -0.176379, -0.516157]","[3.539819, -0.35987, -1.508593, 0.127256, -0.011483, 0.811912, 0.580749, -1.027886]","[0.544018, 0.253326, -1.922737, 1.058663, -1.458209, -1.433263, 0.630371, -1.667874]"
45,add_node,goal_bias,43,47,0.1086961999990308,,,True,False,,,,best_parent=43,0.9478167681045462,"[4.163557, 0.348928, -2.779128, -0.111979, -1.616287, 0.220346, -2.930542, 0.010064]","[3.964998, 0.452821, -3.00033, -0.043431, -1.731583, 0.144142, -3.058933, 0.18855]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]"
45,connect_goal,,46,47,0.10898099999940314,,,True,False,,,,periodic_goal_connected,0.998329644411352,"[3.964998, 0.452821, -3.00033, -0.043431, -1.731583, 0.144142, -3.058933, 0.18855]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]",
