iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,reason,cost,from_q,to_q,sample_q
34,add_node,random,30,36,True,False,,best_parent=0,0.5227980924262183,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.14234, 0.442428, 0.626871, -0.479812, -0.16534, -0.101075, 0.895332, 1.07103]","[6.801062, 0.653078, -0.691983, 0.9512, 0.64782, -1.875433, -0.573313, 1.078111]"
35,add_node,random,30,37,True,False,,best_parent=0,0.5096126202952975,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.852525, 0.466709, 0.812214, -0.599198, -0.437714, 0.372127, 1.028739, 0.738747]","[4.1998, 0.95066, 1.128806, -0.132091, -2.201189, 3.01853, 0.657284, -2.549215]"
36,add_node,random,15,38,True,False,,best_parent=0,0.4595072034064433,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.94729, 0.313285, 1.243867, -0.447219, -0.398803, 0.053028, 1.370017, 1.085066]","[1.367594, -0.2218, 2.809795, 1.179108, -2.357153, -0.253188, 1.42985, 2.10881]"
37,add_node,random,29,39,True,False,,best_parent=0,0.3144845016393396,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.667081, -0.188801, 0.015294, -0.232008, 0.495708, 0.806842, -0.898368, -0.186977]","[3.256324, 0.567947, 0.141979, 0.566856, 2.8305, 1.884865, -2.598803, 1.050033]"
38,add_node,random,6,40,True,False,,best_parent=0,0.23052802951020063,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.123661, -0.239263, -0.345783, -0.092954, -0.501095, 0.316429, 0.135174, 0.485669]","[0.763476, -0.967466, -0.457871, -0.395271, -1.819288, 1.268564, 1.069601, 2.057282]"
39,add_node,random,39,41,True,False,,best_parent=0,0.2560342503560373,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.006317, -0.326056, -0.407852, -0.191101, -0.562246, -0.019528, 0.330858, 0.518039]","[0.221377, -0.906634, -0.82305, -0.847627, -0.971298, -2.266815, 1.639832, 0.734565]"
40,add_node,random,0,42,True,False,,best_parent=0,0.07999999999999997,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.028144, 0.06542, 0.087194, 0.161806, -0.243379, -0.108827, -0.249975, -0.205816]","[0.345591, 0.803309, 1.070682, 1.986861, -2.988527, -1.336321, -3.069513, -2.527279]"
41,add_node,random,21,43,True,False,,best_parent=0,0.4357623099553356,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.838212, -0.316221, -0.464945, -0.498154, 0.226453, -0.271656, -0.242959, -0.874139]","[5.149612, -0.929053, -2.033037, -0.725076, -0.373899, -0.597639, -2.591207, -2.527719]"
42,add_node,random,39,44,True,False,,best_parent=0,0.2618570120417915,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.20847, -0.191219, -0.409304, -0.122046, -0.665904, 0.632152, 0.438721, 0.450482]","[1.69871, 0.086499, -0.77649, -0.290218, -1.618594, 2.457211, 2.193395, 0.247083]"
43,add_node,random,41,45,True,False,,best_parent=0,0.13447417055917357,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.026036, 0.070185, 0.021014, 0.394404, -0.395352, -0.035223, -0.59199, 0.013751]","[0.016517, 0.091695, -0.277741, 1.444414, -1.081397, 0.297045, -2.135936, 1.004938]"
44,add_node,random,29,46,True,False,,best_parent=0,0.3247323247220878,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.444819, -0.321924, 0.282261, -0.332338, 0.198886, 0.94727, -0.586455, -0.589024]","[1.138015, -0.684038, 2.511348, -0.39637, -0.016675, 3.044224, 0.328384, -2.640945]"
45,add_node,goal_bias,26,47,True,False,,best_parent=26,0.5781882485153602,"[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]"
46,add_node,random,44,48,True,False,,best_parent=0,0.17598009600026734,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.066703, 0.010054, 0.039074, 0.706167, -0.619102, 0.051911, -0.530126, -0.224376]","[0.255414, -0.268975, 0.122877, 2.152857, -1.657381, 0.456246, -0.243057, -1.329372]"
47,add_node,random,32,49,True,False,,best_parent=0,0.30090419883045655,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.501142, -0.124982, 1.420015, -0.851167, 0.494836, -0.296527, 0.311755, 0.295399]","[0.470307, -0.662353, 2.94024, -1.215836, 0.404264, -1.027666, -0.546143, -0.792957]"
48,add_node,random,35,50,True,False,,best_parent=0,0.5169927010678382,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.138609, 0.496486, 0.478213, -0.568003, -0.277498, -0.214689, 0.494707, 0.983171]","[3.107985, 0.940197, -0.741972, -1.291875, -1.198094, -1.147236, -2.793622, 0.262027]"
49,add_node,random,22,51,True,False,,best_parent=0,0.47371436928072624,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.035601, 0.438937, 0.394498, -0.373553, -0.481315, 0.157486, 1.488642, 1.25076]","[0.248776, 0.536045, -1.890193, 0.268816, -2.670445, 0.86099, 2.771858, 2.342987]"
50,add_node,random,24,52,True,False,,best_parent=0,0.4098713863361163,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.532277, -0.334916, 0.281745, 0.335266, 0.492475, -0.237162, -0.494094, -0.855943]","[2.882448, -0.089473, 1.544394, 2.765425, 0.132426, -1.714973, -2.567266, -2.4273]"
51,add_node,random,26,53,True,False,,best_parent=0,0.588960182123831,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.41761, 0.435945, 2.46085, -1.632215, -0.069316, 0.230664, 1.019182, 0.8484]","[1.714151, 0.382552, 3.083812, -2.459622, -1.514393, 2.540041, -0.295539, 1.064655]"
52,add_node,random,52,54,True,False,,best_parent=0,0.5901376498657165,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.491644, 0.328182, 2.520664, -1.663733, 0.095424, 0.454849, 1.197195, 0.70423]","[1.973169, -0.372723, 2.909706, -1.868733, 1.166912, 1.912973, 2.355015, -0.233467]"
53,add_node,random,45,55,True,False,,best_parent=0,0.35534969049086823,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.505915, -0.341589, 0.478757, -0.530631, -0.11018, 1.108103, -0.695753, -0.402026]","[2.087588, -0.528807, 2.349521, -2.4185, -3.052681, 2.639332, -1.736339, 1.378312]"
54,add_node,random,38,56,True,False,,best_parent=0,0.33491497980632584,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.722812, -0.084129, -0.147925, -0.230404, 0.665089, 0.903888, -1.069069, 0.033317]","[2.203555, 0.818796, -1.555899, -0.21657, 2.126217, 1.741028, -2.54158, 1.933626]"
55,add_node,random,49,57,True,False,,best_parent=0,0.5490251372620256,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.506959, 0.463396, 0.283076, -0.629233, -0.257787, -0.262954, 0.21096, 1.158705]","[6.638384, 0.182088, -1.375829, -1.149765, -0.090216, -0.673258, -2.201233, 2.650955]"
56,add_node,random,55,58,True,False,,best_parent=0,0.3737166632181009,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.939348, -0.103745, -0.208044, -0.390425, 0.962817, 0.878169, -1.006494, 0.34403]","[3.415236, -0.237448, -0.617806, -1.481109, 2.992089, 0.702872, -0.579994, 2.461809]"
57,add_node,random,28,59,True,False,,best_parent=0,0.4628339879168957,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.999225, -0.472892, 0.16979, 0.034536, 0.297376, 0.32414, -0.504405, -0.284792]","[6.521558, -0.967837, -1.670436, 0.620977, -0.538719, 2.263734, -1.689149, 0.536239]"
58,add_node,random,58,60,True,False,,best_parent=0,0.5062049016799144,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.235393, -0.500366, 0.421972, 0.249012, 0.131346, 0.412327, -0.744778, -0.201126]","[5.103635, -0.717704, 2.416902, 1.945657, -1.182061, 1.109937, -2.646278, 0.460724]"
59,add_node,random,51,61,True,False,,best_parent=0,0.4449812675624359,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.805667, -0.364468, 0.370967, 0.504302, 0.553374, -0.502769, -0.234404, -0.720536]","[5.335443, -0.637918, 1.196567, 2.06845, 1.116887, -2.960529, 2.168598, 0.532437]"
60,add_node,random,59,62,True,False,,best_parent=0,0.5497709237936778,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.517062, -0.537988, 0.626214, -0.088464, 0.179486, 0.31222, -0.777476, -0.34006]","[6.056687, -0.877197, 2.467733, -3.13127, 0.613529, -0.590372, -1.072294, -1.592734]"
61,add_node,random,56,63,True,False,,best_parent=0,0.5664529034701454,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.674346, 0.418455, 0.475745, -0.350267, -0.462008, -0.449213, 0.109035, 1.272967]","[5.521826, -0.077568, 2.60227, 2.728714, -2.716024, -2.50498, -1.015923, 2.534096]"
62,add_node,random,54,64,True,False,,best_parent=0,0.40985480294521454,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.629593, -0.416512, 0.830473, -0.714334, -0.246834, 1.19409, -0.640909, -0.37258]","[2.369376, -0.864665, 2.93428, -1.813159, -1.064239, 1.70843, -0.312852, -0.196447]"
63,add_node,random,57,65,True,False,,best_parent=0,0.3982726430885236,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.106815, -0.117049, -0.103449, -0.564678, 1.09451, 0.509142, -1.13482, 0.491143]","[3.648651, -0.239538, 0.859542, -2.168999, 2.306991, -2.888432, -2.316289, 1.845593]"
64,add_node,random,57,66,True,False,,best_parent=0,0.41549824611908837,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.021198, -0.093343, -0.598146, -0.398275, 1.198959, 1.063782, -0.989061, 0.278117]","[2.507597, -0.031528, -2.916379, -0.444927, 2.602267, 2.166811, -0.885463, -0.113578]"
65,add_node,random,65,67,True,False,,best_parent=0,0.4334435854610712,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.967967, -0.020939, -0.781021, -0.166894, 1.324327, 1.152728, -1.112292, 0.007685]","[1.403097, 0.747395, -2.721646, 2.28848, 2.654702, 2.096607, -2.419993, -2.862078]"
66,add_node,random,37,68,True,False,,best_parent=0,0.49670050909091484,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.276903, 0.258677, 1.421924, -0.339505, -0.608453, -0.155124, 1.501332, 1.004326]","[5.417081, -0.261562, 3.118247, 0.686665, -2.605757, -2.138157, 2.752353, 0.23513]"
67,add_node,random,66,69,True,False,,best_parent=0,0.4622073285101672,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.863686, -0.042054, -1.053396, 0.132221, 1.428697, 1.287945, -1.15894, -0.207089]","[1.186577, -0.179155, -2.821964, 2.074411, 2.106385, 2.165923, -1.461832, -1.60165]"
68,add_node,random,68,70,True,False,,best_parent=0,0.5175499186210253,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.134604, -0.105041, -1.221666, 0.332947, 1.568567, 1.391237, -1.255067, 0.035458]","[4.910087, -0.750322, -2.945555, 2.389337, 3.001508, 2.44944, -2.239862, 2.520301]"
69,add_node,random,47,71,True,False,,best_parent=0,0.22095678569401547,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.206909, -0.006376, 0.324284, 0.834246, -0.648834, -0.255038, -0.738753, -0.255129]","[1.088645, -0.109701, 2.117935, 1.639717, -0.835816, -2.1854, -2.050777, -0.448525]"
70,add_node,random,67,72,True,False,,best_parent=0,0.5028630047955118,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.379345, 0.175839, 1.247387, -0.51852, -0.527553, -0.371084, 1.508966, 1.254053]","[3.005563, -0.330543, 0.180464, -1.612815, -0.033027, -1.691221, 1.555628, 2.780599]"
71,add_node,goal_bias,26,73,True,False,,best_parent=26,0.5781882485153602,"[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]"
72,add_node,goal_bias,26,74,True,False,,best_parent=26,0.5781882485153602,"[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]","[1.371308, 0.444282, 2.36358, -1.503023, 0.156319, -0.129923, 1.224462, 0.814634]"
73,add_node,random,59,75,True,False,,best_parent=0,0.5587834612720092,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.497479, -0.546673, 0.549023, 0.466439, -0.048589, 0.425917, -0.966921, 0.005105]","[5.982827, -0.985797, 1.753836, 2.52829, -1.754906, 0.554796, -3.073497, 1.960786]"
74,add_node,random,74,76,True,False,,best_parent=0,0.6120323990516938,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.915566, -0.540511, 0.653516, 0.625378, 0.014889, 0.266258, -1.125256, -0.220289]","[7.380103, -0.489452, 1.519409, 1.942441, 0.540915, -1.056781, -2.437316, -2.088051]"
75,add_node,random,63,77,True,False,,best_parent=0,0.4608885150838542,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.850555, -0.47037, 0.86326, -0.824682, -0.506089, 1.105549, -0.942069, -0.490691]","[2.889073, -0.723506, 1.017359, -1.343319, -1.72458, 0.689407, -2.357517, -1.045809]"
76,add_node,random,34,78,True,False,,best_parent=0,0.37655118285393546,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.939717, -0.358439, -0.487804, 0.039003, 0.836113, 0.579653, 0.778957, -0.257501]","[2.044486, -0.734485, 0.175359, -1.651501, 2.838769, 2.157276, 2.709731, 2.466978]"
77,add_node,random,48,79,True,False,,best_parent=0,0.3238218425912784,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.610115, -0.066357, 1.521868, -0.80581, 0.691888, -0.566164, 0.303695, 0.000465]","[1.359343, 0.336712, 2.222145, -0.493963, 2.046699, -2.420028, 0.248277, -2.027318]"
78,add_node,random,56,80,True,False,,best_parent=0,0.5841869731054435,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.842625, 0.476129, 0.053513, -0.507167, 0.002386, -0.099004, 0.319913, 1.233317]","[7.213784, 0.604011, -2.252028, 0.718765, 2.615354, 1.547576, 1.414149, 1.982666]"
