iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
25,add_node,random,19,26,0.049668600000586594,,,True,False,,,,best_parent=0,0.31729782632118847,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[4.542965, -0.10572, -1.578085, -1.437402, -0.757722, 0.943157, 0.135116, -1.550092]","[2.716102, -0.472818, -0.359177, -3.029553, 0.057481, 2.054347, -3.095242, -2.992476]"
26,add_node,random,16,27,0.0523840999994718,,,True,False,,,,best_parent=3,0.47318362493156585,"[5.169498, -0.500477, -1.557403, -1.46597, -1.223681, -0.283221, 1.024138, -1.371206]","[4.818972, -0.673396, -0.736495, -1.396072, -0.540832, -1.629109, 0.727849, -1.338861]","[7.534221, -0.507085, -0.052905, -1.101695, -0.872891, -2.265956, -0.105601, -2.063538]"
27,add_node,random,20,28,0.055410099999789963,,,True,False,,,,best_parent=20,0.39518930950548375,"[4.746113, -0.070535, -1.689946, -0.923455, -0.895663, 0.905961, 0.293362, -1.096282]","[4.665342, 0.021307, -1.471402, -0.773353, -0.711088, 1.075059, 0.114116, -1.102233]","[3.906964, 0.88362, 0.580545, 0.635972, 1.021919, 2.662746, -1.568844, -1.158108]"
28,extend,goal_bias,24,28,0.05585819999942032,0.00019860000065818895,0.00019860000065818895,False,True,"[[""dda_link_end_0"", ""collision_object_0""]]","[3.550005, -0.899785, -0.832122, -0.985231, -0.771141, -2.13232, 0.928326, -1.068091]",0.16666666666666666,extend_edge_collision,,"[3.593407, -0.887272, -0.838005, -1.008587, -0.778597, -2.075492, 0.913504, -1.081959]","[3.332994, -0.96235, -0.802709, -0.86845, -0.73386, -2.416461, 1.002432, -0.998752]","[3.202401, -1.0, -0.78501, -0.798173, -0.711425, -2.58745, 1.047027, -0.957026]"
29,add_node,random,27,29,0.05917009999939182,,,True,False,,,,best_parent=20,0.4627543642196135,"[4.746113, -0.070535, -1.689946, -0.923455, -0.895663, 0.905961, 0.293362, -1.096282]","[4.410707, 0.134868, -1.505344, -0.584481, -0.713819, 1.086022, -0.103153, -1.091094]","[2.93996, 0.790784, -1.701391, 0.506424, -0.729592, 1.149341, -1.358079, -1.026755]"
30,add_node,random,18,30,0.12501410000004398,,,True,False,,,,best_parent=3,0.5256005181682512,"[5.169498, -0.500477, -1.557403, -1.46597, -1.223681, -0.283221, 1.024138, -1.371206]","[4.056649, -0.534572, -0.863287, -1.361612, -0.123196, -1.603348, 0.780597, -0.705342]","[2.414863, 0.453391, -2.397903, 0.422805, 1.83169, -2.853006, 0.61438, 0.563932]"
31,extend,goal_bias,24,30,0.12554479999926116,0.00022140000146464445,0.00022140000146464445,False,True,"[[""dda_link_end_0"", ""collision_object_0""]]","[3.550005, -0.899785, -0.832122, -0.985231, -0.771141, -2.13232, 0.928326, -1.068091]",0.16666666666666666,extend_edge_collision,,"[3.593407, -0.887272, -0.838005, -1.008587, -0.778597, -2.075492, 0.913504, -1.081959]","[3.332994, -0.96235, -0.802709, -0.86845, -0.73386, -2.416461, 1.002432, -0.998752]","[3.202401, -1.0, -0.78501, -0.798173, -0.711425, -2.58745, 1.047027, -0.957026]"
32,add_node,random,28,31,0.127954999999929,,,True,False,,,,best_parent=20,0.514576295292766,"[4.746113, -0.070535, -1.689946, -0.923455, -0.895663, 0.905961, 0.293362, -1.096282]","[4.423544, 0.173634, -1.232109, -0.659786, -0.54386, 1.018782, -0.374726, -0.867493]","[4.550193, 0.55609, 1.463547, -1.402722, 1.132901, 0.355417, -3.053982, 1.338484]"
33,add_node,random,30,32,0.12993610000012268,,,True,False,,,,best_parent=20,0.5651762699748497,"[4.746113, -0.070535, -1.689946, -0.923455, -0.895663, 0.905961, 0.293362, -1.096282]","[4.376366, 0.185604, -0.922123, -0.35332, -0.362805, 0.927252, -0.341146, -0.736013]","[3.860546, 0.316475, 2.467089, 2.997405, 1.616751, -0.073487, 0.025991, 0.701508]"
34,add_node,random,27,33,0.13402399999904446,,,True,False,,,,best_parent=4,0.424864434683985,"[5.775809, -0.284034, -1.611511, -1.634198, -1.169398, 0.532561, 0.688442, -1.556157]","[4.871396, -0.033315, -1.631914, -0.67577, -0.496478, 1.108947, -0.218419, -1.157789]","[6.213678, -0.389136, -2.677522, -0.040088, 0.901536, 1.329701, -2.384628, -1.519698]"
