iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
27,add_node,goal_bias,16,29,True,False,,,,best_parent=0,0.25911716544603824,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.510493, 0.277016, -0.130439, 0.29524, 0.104027, 0.090578, 0.526604, -0.221467]","[1.974323, 0.446241, -0.221473, 0.389918, 0.686503, 0.121691, 1.465617, -0.190257]"
28,add_node,random,12,30,True,False,,,,best_parent=5,0.4434367240569833,"[1.131011, -0.036165, -0.066456, -0.264987, -0.184757, 0.12103, -0.351451, -0.237276]","[2.550005, -0.076035, -0.994331, -0.661276, -0.176611, 0.577297, -1.019661, -0.349597]","[7.801731, 0.504715, -1.730207, -2.659355, 2.310908, 0.841888, -1.000741, -1.118403]"
29,add_node,random,26,31,True,False,,,,best_parent=22,0.3954751070721395,"[1.593366, -0.121051, 0.280462, -0.68588, 0.075135, -0.038461, 0.040657, -0.202975]","[2.534641, -0.140185, 0.576102, -0.989413, 0.393277, 0.068251, 0.201691, -0.355996]","[5.46514, -0.585964, 0.435024, -1.902299, 0.043795, -1.257291, 0.469191, -2.309877]"
30,add_node,random,30,32,True,False,,,,best_parent=26,0.44652132332589545,"[2.141267, -0.080346, 0.595039, -0.866873, 0.440189, 0.246185, 0.165783, -0.093718]","[2.851721, -0.200636, 0.750406, -0.913448, 0.583971, 0.261648, 0.208757, -0.148941]","[6.612196, -0.917575, 2.817613, -0.012527, 2.84555, 2.555287, 0.292555, 2.306678]"
31,add_node,random,14,33,True,False,,,,best_parent=0,0.3494104540688716,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.862375, -0.057435, -0.421682, 0.852157, -0.756915, 0.931284, 0.496414, -0.001607]","[3.253111, -0.379647, -2.837618, 2.604821, -2.643374, 1.35943, 1.049066, -1.387769]"
32,add_node,random,31,34,True,False,,,,best_parent=22,0.49816451226641345,"[1.593366, -0.121051, 0.280462, -0.68588, 0.075135, -0.038461, 0.040657, -0.202975]","[3.223897, -0.265181, 0.78328, -0.66187, 0.507326, 0.372082, 0.21957, -0.352017]","[7.126537, -0.941997, 1.127992, 1.976185, -0.296376, 1.530093, 0.332964, -2.481475]"
33,add_node,goal_bias,28,35,True,False,,,,best_parent=0,0.3211426321703231,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.691439, 0.343033, -0.165952, 0.332175, 0.331258, 0.102716, 0.892924, -0.209292]","[1.974323, 0.446241, -0.221473, 0.389918, 0.686503, 0.121691, 1.465617, -0.190257]"
34,add_node,random,27,36,True,False,,,,best_parent=27,0.3999490060025788,"[2.064996, -0.059777, 0.282136, -1.031108, 0.122313, 0.136922, -0.122203, 0.340428]","[2.35825, -0.00271, 0.543332, -1.197908, -0.101114, 0.225178, -0.226555, 0.304246]","[4.859879, 0.484103, 2.771485, -2.62081, -2.007077, 0.978052, -1.11674, -0.004409]"
35,add_node,random,32,37,True,False,,,,best_parent=4,0.42207323396703084,"[0.90036, -0.027901, -0.342021, 0.061089, -0.418148, 0.379378, -0.132082, 0.251809]","[1.917331, -0.126881, -0.664764, 0.955569, -0.605091, 0.756914, 0.624264, -0.253326]","[2.46795, -0.822682, -3.100265, 1.991679, 0.916069, -0.990145, 1.905232, -2.775373]"
36,add_node,random,36,38,True,False,,,,best_parent=4,0.47707694535626954,"[0.90036, -0.027901, -0.342021, 0.061089, -0.418148, 0.379378, -0.132082, 0.251809]","[2.207576, -0.228749, -0.789395, 1.19627, -0.724242, 0.744131, 0.604052, -0.160487]","[3.719349, -0.759336, -1.438554, 2.449994, -1.344854, 0.677547, 0.498773, 0.323075]"
37,add_node,random,30,39,True,False,,,,best_parent=22,0.4449243533032163,"[1.593366, -0.121051, 0.280462, -0.68588, 0.075135, -0.038461, 0.040657, -0.202975]","[2.698999, -0.088555, 0.445751, -1.288422, 0.637998, 0.174374, 0.046081, -0.441388]","[3.688862, 0.222387, -0.339298, -3.089233, 2.111859, 0.813515, -0.891094, -0.955672]"
38,add_node,random,21,40,True,False,,,,best_parent=1,0.3694865575484288,"[0.412729, 0.065838, 0.04539, -0.059553, -0.192697, -0.038634, -0.167807, -0.172138]","[1.988789, 0.32217, -0.227068, 0.632498, -0.454181, -0.54132, -0.0658, -0.622564]","[3.299294, 0.271803, -1.922938, 1.000936, -2.950833, -2.443679, -0.008082, -2.417413]"
39,add_node,random,33,41,True,False,,,,best_parent=22,0.5305118361452001,"[1.593366, -0.121051, 0.280462, -0.68588, 0.075135, -0.038461, 0.040657, -0.202975]","[3.520587, -0.321129, 0.728685, -0.807453, 0.514846, 0.03686, 0.325134, -0.217223]","[6.084451, -0.804604, 0.256899, -2.065516, 0.579831, -2.859986, 1.23737, 0.947605]"
40,add_node,random,40,42,True,False,,,,best_parent=22,0.5532183124649556,"[1.593366, -0.121051, 0.280462, -0.68588, 0.075135, -0.038461, 0.040657, -0.202975]","[3.755588, -0.281332, 0.553338, -0.65527, 0.741071, -0.157617, 0.140104, -0.0599]","[5.73225, 0.05341, -0.921551, 0.624785, 2.643912, -1.793419, -1.416237, 1.263388]"
41,add_node,random,34,43,True,False,,,,best_parent=28,0.3984097282650377,"[1.510493, 0.277016, -0.130439, 0.29524, 0.104027, 0.090578, 0.526604, -0.221467]","[2.020212, 0.319765, -0.316466, 0.460864, 0.500905, -0.104778, 1.067541, -0.402221]","[5.536258, 0.070936, -1.926129, 1.837124, 2.315187, -2.323812, 2.93497, -2.465492]"
42,add_node,random,39,44,True,False,,,,best_parent=1,0.3897222303148876,"[0.412729, 0.065838, 0.04539, -0.059553, -0.192697, -0.038634, -0.167807, -0.172138]","[2.058575, 0.31818, -0.132036, 0.717909, -0.612508, -0.724584, 0.2094, -0.308786]","[2.6092, 0.286701, 0.617789, 1.391827, -1.861738, -2.170577, 2.380786, 2.166984]"
43,add_node,random,41,45,True,False,,,,best_parent=23,0.6062042601908277,"[1.789484, -0.09283, 0.395389, -0.79493, 0.319892, 0.168951, -0.128899, 0.048963]","[4.119949, -0.206228, 0.518636, -0.783713, 0.825207, -0.165776, 0.42558, 0.021058]","[6.768349, 0.339673, 0.266399, -1.717314, 1.436758, -0.225075, 2.50059, 0.609513]"
44,add_node,random,35,46,True,False,,,,best_parent=27,0.4638601098554639,"[2.064996, -0.059777, 0.282136, -1.031108, 0.122313, 0.136922, -0.122203, 0.340428]","[2.777185, -0.027851, 0.665989, -1.246332, -0.240767, 0.458231, -0.300534, 0.500683]","[7.27313, -0.297658, 1.982332, -1.76601, -1.739505, 2.959314, -1.094469, 2.608816]"
45,add_node,goal_bias,42,47,True,False,,,,best_parent=34,0.42587498654496664,"[1.691439, 0.343033, -0.165952, 0.332175, 0.331258, 0.102716, 0.892924, -0.209292]","[1.986302, 0.413226, -0.24627, 0.408438, 0.638054, 0.062573, 1.361702, -0.245588]","[1.974323, 0.446241, -0.221473, 0.389918, 0.686503, 0.121691, 1.465617, -0.190257]"
45,connect_goal,,46,47,True,False,,,,periodic_goal_connected,0.45413554216280944,"[1.986302, 0.413226, -0.24627, 0.408438, 0.638054, 0.062573, 1.361702, -0.245588]","[1.974323, 0.446241, -0.221473, 0.389918, 0.686503, 0.121691, 1.465617, -0.190257]",
46,add_node,random,29,48,True,False,,,,best_parent=5,0.4936699333764954,"[1.131011, -0.036165, -0.066456, -0.264987, -0.184757, 0.12103, -0.351451, -0.237276]","[2.830558, -0.153542, -1.016197, -0.701816, 0.056991, 0.580858, -1.198206, -0.583807]","[5.880381, -0.996104, -1.253901, -1.14252, 2.596435, 0.61957, -3.139122, -3.129862]"
47,add_node,random,41,49,True,False,,,,best_parent=22,0.5924039805455344,"[1.593366, -0.121051, 0.280462, -0.68588, 0.075135, -0.038461, 0.040657, -0.202975]","[3.965782, -0.28384, 0.609245, -0.459092, 0.790737, -0.37673, -0.120698, 0.19371]","[6.314117, -0.311868, 1.23385, 1.732649, 1.345617, -2.824707, -3.034439, 3.027103]"
48,add_node,random,37,50,True,False,,,,best_parent=32,0.5379237513289672,"[1.862375, -0.057435, -0.421682, 0.852157, -0.756915, 0.931284, 0.496414, -0.001607]","[2.671909, -0.288298, -0.936756, 1.148008, -0.796005, 0.910187, 0.587619, -0.315913]","[7.85245, -0.952692, -2.580848, 0.609548, -1.596663, 2.76287, 0.404272, -2.049986]"
49,add_node,random,24,51,True,False,,,,best_parent=8,0.4440817991663285,"[1.205235, -0.051561, -0.018604, 0.555334, -0.533003, 0.581835, -0.130862, 0.590007]","[2.22273, -0.05751, -0.059617, 1.065123, -0.864108, 1.050418, -0.101803, 1.240297]","[4.213698, 0.541647, 0.054475, 1.717175, -1.467446, 2.212313, 0.290145, 2.627776]"
50,add_node,random,50,52,True,False,,,,best_parent=8,0.477830054109338,"[1.205235, -0.051561, -0.018604, 0.555334, -0.533003, 0.581835, -0.130862, 0.590007]","[2.455553, 0.042148, 0.078016, 0.978003, -1.004942, 0.877508, -0.216829, 1.415606]","[4.486766, 0.911591, 1.278762, 0.217944, -2.23362, -0.631, -1.220344, 2.945052]"
50,connect_goal,,46,52,True,False,,,,periodic_goal_connected,0.45413554216280944,"[1.986302, 0.413226, -0.24627, 0.408438, 0.638054, 0.062573, 1.361702, -0.245588]","[1.974323, 0.446241, -0.221473, 0.389918, 0.686503, 0.121691, 1.465617, -0.190257]",
51,add_node,random,45,53,True,False,,,,best_parent=27,0.5268558855436463,"[2.064996, -0.059777, 0.282136, -1.031108, 0.122313, 0.136922, -0.122203, 0.340428]","[2.957699, -0.072334, 0.873618, -1.437321, -0.278152, 0.622849, -0.319825, 0.82294]","[4.082208, -0.349443, 2.167031, -2.627084, -0.511036, 1.648335, -0.439998, 2.830425]"
52,add_node,goal_bias,46,54,True,False,,,,best_parent=34,0.44621202559284534,"[1.691439, 0.343033, -0.165952, 0.332175, 0.331258, 0.102716, 0.892924, -0.209292]","[1.974323, 0.446241, -0.221473, 0.389918, 0.686503, 0.121691, 1.465617, -0.190257]","[1.974323, 0.446241, -0.221473, 0.389918, 0.686503, 0.121691, 1.465617, -0.190257]"
52,connect_goal,,53,54,True,False,,,,periodic_goal_connected,0.44621202559284534,"[1.974323, 0.446241, -0.221473, 0.389918, 0.686503, 0.121691, 1.465617, -0.190257]","[1.974323, 0.446241, -0.221473, 0.389918, 0.686503, 0.121691, 1.465617, -0.190257]",
